Q8WYJ6,Sep-01,Sep-01
Q15019,Sep-02,Sep-02
Q16181,Sep-07,Sep-07
Q92599,Sep-08,Sep-08
Q8IYM1,Sep-12,Sep-12
P31946,14-3-3 beta,YWHAB
P62258,14-3-3 epsilon,YWHAE
P61981,14-3-3 gamma,YWHAG
P31947,14-3-3 sigma,SFN
P27348,14-3-3 theta,YWHAQ
P63104,14-3-3 zeta,YWHAZ
Q13541,4E-BP1,EIF4EBP1
Q9NRA8,4E-T,EIF4ENIF1
Q12888,53BP1,TP53BP1
Q13625,53BP2,TP53BP2
P09917,5-LO,ALOX5
Q2M2I8,AAK1,AAK1
Q5JTZ9,AARSL,AARS2
Q9NY61,AATF,AATF
O95477,ABCA1,ABCA1
P08183,ABCB1,ABCB1
P33527,ABCC1,ABCC1
Q8NE71,ABCF1,ABCF1
Q9UNQ0,ABCG2,ABCG2
Q8IZP0,Abi-1,ABI1
P00519,Abl,ABL1
P00519-2,Abl iso2,ABL1
Q6UWZ7,Abraxas,FAM175A
P24752,ACAT1,ACAT1
Q13085,ACC1,ACACA
O00763,ACC2,ACACB
Q96AP0,ACD,ACD
P12821,ACE,ACE
Q9UPN3,ACF7,MACF1
Q9UKV3,acinus,ACIN1
Q07912,Ack,TNK2
P24666,ACP1,ACP1
Q9NR19,ACSS2,ACSS2
P12814,ACTN1,ACTN1
Q13444,ADAM15,ADAM15
P35611,ADD1,ADD1
P35612,ADD2,ADD2
Q9UEY8,ADD3,ADD3
Q96A54,ADIPOR1,ADIPOR1
P08588,ADRB1,ADRB1
P07550,ADRB2,ADRB2
P55196,Afadin,AFDN
Q8N556,AFAP,AFAP1
Q8N4X5,AFAP1L2,AFAP1L2
Q9UKV8,AGO2,AGO2
Q09666,AHNAK,AHNAK
P35869,AHR,AHR
O95433,AHSA1,AHSA1
Q9GZX7,AID,AICDA
O00170,AIP,AIP
O43918,AIRE,AIRE
Q9UKA4,AKAP11,AKAP11
Q02952,AKAP12,AKAP12
Q12802,AKAP13,AKAP13
Q5JQC9,AKAP4,AKAP4
P24588,AKAP5,AKAP5
O43823,AKAP8,AKAP8
Q99996,AKAP9,AKAP9
Q53H80,AKIRIN2,AKIRIN2
P31749,Akt1,AKT1
P31751,Akt2,AKT2
Q9Y243,Akt3,AKT3
P05091,ALDH2,ALDH2
P51649,ALDH5A1,ALDH5A1
Q9UM73,ALK,ALK
Q9C0C7,AMBRA1,AMBRA1
Q9UKV5,AMFR,AMFR
Q01196,AML1,RUNX1
Q01196-8,AML1 iso8,RUNX1
Q13761,AML2,RUNX3
Q13950,AML3,RUNX2
Q4VCS5,AMOT,AMOT
Q9Y2J4,AMOTL2,AMOTL2
P49418,amphiphysin,AMPH
Q13131,AMPKA1,PRKAA1
P54646,AMPKA2,PRKAA2
Q9Y478,AMPKB1,PRKAB1
P10243,A-Myb,MYBL1
Q86XL3,ANKLE2,ANKLE2
Q6UB98-2,ANKRD12 iso2,ANKRD12
O75179,ANKRD17,ANKRD17
Q9GZV1,ANKRD2,ANKRD2
O15084,ANKRD28,ANKRD28
P39687,ANP32A,ANP32A
Q92688,ANP32B,ANP32B
P16066,ANPA,NPR1
P04083,ANXA1,ANXA1
P07355,ANXA2,ANXA2
P05549,AP-2 alpha,TFAP2A
P63010,AP2B1,AP2B1
Q96CW1,AP2M1,AP2M1
O14727,APAF,APAF1
O96018,APBA3,APBA3
P25054,APC,APC
Q9H1A4,APC1,ANAPC1
Q9UJX5,APC4,ANAPC4
Q9UJX3,APC7,ANAPC7
Q8IW19,APLF,APLF
Q06481,APLP2,APLP2
Q9HC16,APOBEC3G,APOBEC3G
P02649,APOE,APOE
P05067,APP,APP
P05067-4,APP iso4,APP
Q9UKG1,APPL,APPL1
Q9NTI5,APRIN,PDS5B
Q7Z2E3,APTX,APTX
P29972,AQP1,AQP1
P41181,AQP2,AQP2
P55087,AQP4,AQP4
P55064,AQP5,AQP5
O43315,AQP9,AQP9
P10275,AR,AR
P10398,ARAF,ARAF
O60936,ARC,NOL3
O15033-2,AREL1 iso2,
P53367,arfaptin 1,ARFIP1
P53367-2,arfaptin 1 iso2,ARFIP1
P53365,arfaptin 2,ARFIP2
Q9Y6D6,ARFGEF1,ARFGEF1
P42684,Arg,ABL2
Q68EM7,ARHGAP17,ARHGAP17
Q14CB8,ARHGAP19,ARHGAP19
Q5T5U3,ARHGAP21,ARHGAP21
Q7Z5H3,ARHGAP22,ARHGAP22
Q9P227,ARHGAP23,ARHGAP23
Q8N264,ARHGAP24,ARHGAP24
P52757,ARHGAP3,CHN2
Q13017,ARHGAP5,ARHGAP5
P85298,ARHGAP8,ARHGAP8
Q92888,ARHGEF1,ARHGEF1
Q96PE2,ARHGEF17,ARHGEF17
Q92974,ARHGEF2,ARHGEF2
Q92974-2,ARHGEF2 iso2,ARHGEF2
Q9NR80-3,ARHGEF4 iso3,ARHGEF4
Q15052,ARHGEF6,ARHGEF6
Q14155,ARHGEF7,ARHGEF7
O14497,ARID1A,ARID1A
P27540,ARNT,ARNT
P61160,ARP2,ACTR2
O15143,ARPC1B,ARPC1B
O15511,ARPC5,ARPC5
P49407,ARRB1,ARRB1
P32121,ARRB2,ARRB2
Q96SD1,Artemis,DCLRE1C
O60343,AS160,TBC1D4
Q96Q27,ASB2,ASB2
O15446,ASE-1,CD3EAP
Q9Y294,ASF1A,ASF1A
Q9NVP2,ASF1B,ASF1B
P78348-1,ASIC1 iso1,ASIC1
Q99683,ASK1,MAP3K5
P30556,AT1,AGTR1
P54253,ataxin-1,ATXN1
Q9UBB4,ataxin-10,ATXN10
Q8WWM7,ataxin-2L,ATXN2L
P54252,ataxin-3,ATXN3
P54252-1,ataxin-3 iso1,ATXN3
P18846,ATF-1,ATF1
P15336,ATF-2,ATF2
