KS ID,UID,Kinase
1,1,AurB
2,2,AurB
3,3,AurB
4,4,CK2A1
5,5,Chk1
6,6,MAPKAPK5
7,7,MAPKAPK5
8,8,PKACA iso2
9,9,JNK1
10,10,PLK2
10,11,PLK3
11,12,LATS2
12,13,JNK1
13,14,Bcr
13,15,CK1A
14,18,Akt1
14,19,Akt1
14,16,MAPKAPK2
14,17,PKACA
15,20,Bcr
15,21,CK1A
16,22,JNK1
17,23,CK2A1
18,24,CK1E
18,25,mTOR
19,26,CK1E
20,31,DYRK2
20,27,ERK1
20,29,ERK2
20,28,GSK3B
20,30,mTOR
21,32,CDK1
21,36,Cot
21,34,ERK2
21,33,GSK3B
21,35,mTOR
22,37,CDK1
23,39,ERK2
23,38,GSK3B
23,40,mTOR
24,42,ERK2
24,41,GSK3B
24,43,mTOR
25,44,mTOR
26,45,DYRK2
27,46,ATM
28,47,JNK1
29,48,JNK1
30,49,JNK1
31,50,JNK1
32,51,JNK1
33,52,JNK1
34,54,CDK1
34,53,Chk1
35,55,CDK1
36,56,PLK1
37,57,ATM
38,58,ATM
39,59,ATM
40,60,ATM
41,61,AurB
42,62,ERK2
43,63,CAMK2A
43,64,MAPKAPK2
43,65,PKACA
44,66,PKACA
45,67,ERK2
46,68,CDK1
47,69,CDK2
48,70,MAPKAPK2
49,71,Chk2
50,72,Chk2
51,73,Chk2
52,74,ATM
53,75,CK2A1
54,76,CK2A1
55,77,CK2A1
56,78,PKACA
57,80,EGFR
57,79,PKACA
58,81,PKACA
58,82,PKCA
59,83,PKACA
59,84,PKCA
60,85,PKACA
61,86,PKCA
62,87,CK2A1
63,88,CK2A1
64,89,CK2A1
65,90,Pim1
66,91,ERK1
66,92,ERK2
67,93,ERK1
67,94,ERK2
68,95,ERK1
68,96,ERK2
69,98,CDK1
69,97,ERK1
69,99,ERK2
70,100,ERK1
70,101,ERK2
71,102,ERK1
71,103,ERK2
72,104,ERK1
72,105,ERK2
73,106,ERK1
73,107,ERK2
74,108,Abl
75,109,CLK1
75,110,CLK4
75,112,Cot
75,114,MST1
75,111,MST2
75,113,TTK
76,115,Abl
76,117,Fyn
76,116,Hck
76,118,LYN
76,119,LYN
77,121,Fyn
77,120,Hck
77,122,LYN
77,123,LYN
78,125,Fyn
78,124,Hck
78,126,LYN
78,127,LYN
79,129,Fyn
79,128,Hck
79,130,LYN
79,131,LYN
80,133,Fyn
80,132,Hck
80,134,LYN
80,135,LYN
81,137,Fyn
81,136,Hck
81,138,LYN
81,139,LYN
82,141,Fyn
82,140,Hck
82,142,LYN
82,143,LYN
83,145,Fyn
83,144,Hck
83,146,LYN
83,147,LYN
84,149,Fyn
84,148,Hck
84,150,LYN
84,151,LYN
85,152,PAK2
86,153,PAK2
87,154,Src
88,155,Abl
89,156,LATS2
90,157,ATM
91,158,ATM
92,159,FGFR1
93,160,AMPKA1
93,161,AMPKA2
94,162,AMPKA1
95,163,NEK6
96,164,CK2A1
97,165,CDK2
98,167,Akt1
98,168,Akt1
98,166,SRPK2
99,169,PDGFRB
100,170,Etk
101,171,Etk
102,172,Ack
103,173,Lck
104,174,Lck
105,175,AMPKA1
106,176,FAK
107,178,Hck
107,177,Lck
108,180,Chk1
108,181,PKCA
108,179,PKCD
108,182,PKCZ
109,183,CDK1
110,184,CDK1
111,185,ROCK1
112,186,ROCK1
113,187,PKCA
114,188,Chk1
114,189,PKCA
114,190,PKCZ
115,191,GSK3B
116,192,GSK3B
117,193,CDK5
118,194,CDK5
119,195,CDK5
120,196,Fyn
121,197,PKCA
122,198,Chk1
123,199,CDK2
124,200,GRK2
125,201,GRK2
126,202,GRK2
127,203,PKACA
128,204,PKACA
129,205,PKACA
130,207,Akt1
130,208,Akt1
130,206,PKACA
131,209,PKACA
132,212,GRK2
132,213,GRK3
132,211,GRK5
132,210,GRK6
