"CNumber","Kinase","Inhibition","Standard Deviation","Screen Conc"
"177","MKK1","13","2","0.10"
"177","MKK2","12","2","0.10"
"177","MKK6","12","4","0.10"
"177","ERK1","106","15","0.10"
"177","ERK2","103","2","0.10"
"177","JNK1","90","0","0.10"
"177","JNK2","109","12","0.10"
"177","JNK3","107","2","0.10"
"177","p38 alpha MAPK","103","3","0.10"
"177","p38 beta MAPK","90","9","0.10"
"177","p38 gamma MAPK","99","1","0.10"
"177","p38 delta MAPK","99","2","0.10"
"177","ERK8","40","2","0.10"
"177","RSK1","113","1","0.10"
"177","RSK2","106","6","0.10"
"177","PDK1","99","10","0.10"
"177","PKB alpha ","111","9","0.10"
"177","PKB beta ","86","9","0.10"
"177","SGK1","106","2","0.10"
"177","S6K1","112","8","0.10"
"177","PKA","99","7","0.10"
"177","ROCK 2","116","13","0.10"
"177","PRK2","102","2","0.10"
"177","PKC alpha ","107","3","0.10"
"177","PKC gamma ","87","4","0.10"
"177","PKC zeta ","105","1","0.10"
"177","PKD1","71","6","0.10"
"177","STK33","120","13","0.10"
"177","MSK1","107","25","0.10"
"177","MNK1","55","0","0.10"
"177","MNK2","41","3","0.10"
"177","MAPKAP-K2 ","124","4","0.10"
"177","MAPKAP-K3","113","18","0.10"
"177","PRAK","66","7","0.10"
"177","CAMKK beta ","87","4","0.10"
"177","CAMK1","88","2","0.10"
"177","SmMLCK","108","4","0.10"
"177","PHK","100","2","0.10"
"177","DAPK1","108","1","0.10"
"177","CHK1","114","13","0.10"
"177","CHK2","110","1","0.10"
"177","GSK3 beta ","102","13","0.10"
"177","CDK2-Cyclin A","119","7","0.10"
"177","PLK1","103","1","0.10"
"177","Aurora A","106","20","0.10"
"177","Aurora B","94","1","0.10"
"177","LKB1","138","6","0.10"
"177","AMPK","100","7","0.10"
"177","MARK1","112","16","0.10"
"177","MARK2","109","1","0.10"
"177","MARK3","116","11","0.10"
"177","MARK4","107","1","0.10"
"177","BRSK1","113","12","0.10"
"177","BRSK2","84","11","0.10"
"177","MELK","95","11","0.10"
"177","NUAK1","113","9","0.10"
"177","CK1 delta ","102","4","0.10"
"177","CK2","106","15","0.10"
"177","DYRK1A","117","0","0.10"
"177","DYRK2","114","5","0.10"
"177","DYRK3","94","7","0.10"
"177","NEK2a","108","0","0.10"
"177","NEK6","122","5","0.10"
"177","IKK beta ","102","17","0.10"
"177","IKK epsilon ","120","4","0.10"
"177","TBK1","105","1","0.10"
"177","PIM1","102","1","0.10"
"177","PIM2","91","7","0.10"
"177","PIM3","126","6","0.10"
"177","SRPK1","104","10","0.10"
"177","EF2K","48","57","0.10"
"177","HIPK1","102","11","0.10"
"177","HIPK2","98","9","0.10"
"177","HIPK3","90","2","0.10"
"177","CLK2","96","17","0.10"
"177","PAK2","104","5","0.10"
"177","PAK4","94","11","0.10"
"177","PAK5","96","9","0.10"
"177","PAK6","100","5","0.10"
"177","MST2","120","14","0.10"
"177","MST4","129","6","0.10"
"177","GCK","121","3","0.10"
"177","MINK1","101","9","0.10"
"177","MEKK1","107","5","0.10"
"177","MLK1","109","4","0.10"
"177","MLK3","114","16","0.10"
"177","TAO1","103","3","0.10"
"177","ASK1","91","1","0.10"
"177","TAK1","5","1","0.10"
"177","IRAK4","99","4","0.10"
"177","RIPK2","103","5","0.10"
"177","TTK","104","2","0.10"
"177","MPSK1","103","6","0.10"
"177","Src","106","4","0.10"
"177","Lck","78","1","0.10"
"177","CSK","118","16","0.10"
"177","YES1","105","40","0.10"
"177","ABL","108","5","0.10"
"177","BTK","90","5","0.10"
"177","JAK2","108","11","0.10"
"177","SYK","88","3","0.10"
"177","ZAP70","110","4","0.10"
"177","TIE2","103","16","0.10"
"177","BRK","65","13","0.10"
"177","EPH-A2","99","8","0.10"
"177","EPH-A4","91","4","0.10"
