Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
18S ribosomal RNA,3.036433794,-0.157651912,14.91943655,2.57E-24,1.55E-21,44.92681137
28S ribosomal RNA,0.107110348,0.027058462,3.249201881,0.001723085,0.00392101,-2.188102709
A1BG,0.793763078,0.122324386,7.794024654,2.68E-11,3.58E-10,15.2844628
A1BG-AS1,0.424788813,0.151787493,4.112045083,9.81E-05,0.000298444,0.520443884
A1CF,0.130391903,0.125447649,1.711622694,0.091033052,0.133424277,-5.717780793
A2M,-0.484344524,-0.020911214,-6.183869867,2.87E-08,1.94E-07,8.420213921
A2M-AS1,0.747351001,0.102561656,6.216409905,2.50E-08,1.72E-07,8.554889822
A2ML1,-0.241288497,0.080568911,-2.427964257,0.017542734,0.031212836,-4.306484415
A2MP1,-0.112243364,0.225740569,-0.829714537,0.409291507,0.486796222,-6.820203646
A4GALT,0.338749571,0.049829552,3.236912061,0.001789553,0.004060207,-2.22334945
A4GNT,0.010395607,0.040484676,0.161365952,0.872232177,0.901314696,-7.152214856
AA06,-0.155763791,0.019116458,-1.503171354,0.136927377,0.190071417,-6.044080096
AAAS,0.148556132,0.037221197,1.687367135,0.095621638,0.139167436,-5.757774421
AACS,0.144892457,0.054374367,1.04915117,0.297424096,0.371483382,-6.614998114
AACSP1,0.049389473,0.110678293,0.38448937,0.701686521,0.757012001,-7.090950816
AADAC,-0.585510668,0.372314385,-2.823407063,0.00605945,0.01213255,-3.348373789
AADACL2,0.009391409,0.32689233,0.087980482,0.930122952,0.947268886,-7.161427776
AADACP1,-0.62438207,0.184589186,-4.67440009,1.25E-05,4.65E-05,2.501804725
AADAT,-0.421285808,0.052962896,-4.195870057,7.28E-05,0.000228322,0.806026157
AAED1,0.910728327,0.076467295,6.651873769,3.91E-09,3.23E-08,10.37737979
AAGAB,0.53487191,0.225149452,4.908916788,5.09E-06,2.07E-05,3.369967887
AAK1,0.521957279,0.041928614,2.946100027,0.004266866,0.008878549,-3.027200557
AAMDC,0.10375576,0.035340269,1.891247325,0.062391126,0.095758614,-5.40529082
AAMP,-0.339062276,-0.045770836,-2.692458523,0.008716354,0.016801361,-3.678901906
AANAT,-0.350864124,-0.005764191,-5.131512107,2.13E-06,9.40E-06,4.214080854
AAR2,-0.072420535,-0.09128438,-0.619864128,0.537196125,0.608939198,-6.972317816
AARS,0.327513846,-0.025541843,2.49252066,0.014854686,0.026930406,-4.158358257
AARS2,0.37864253,0.035686759,3.24678853,0.001735952,0.003948268,-2.195032073
AASDH,0.082972755,0.140975671,0.642396035,0.522543814,0.594970593,-6.958069951
AASDHPPT,-0.149589047,-0.010866425,-2.507343078,0.014292321,0.026021276,-4.123881857
AASS,0.855595138,0.057292074,6.630157052,4.29E-09,3.52E-08,10.2856776
AATBC,1.266916626,0.220251354,6.476124906,8.29E-09,6.36E-08,9.637573641
AATF,-0.245383813,-0.021890928,-1.915338785,0.059200891,0.091475071,-5.361215914
AATK,-0.367837375,0.024635323,-3.169422764,0.002199463,0.004884496,-2.415095652
ABAT,-0.007281872,0.106029978,-0.024825883,0.980258732,0.985460689,-7.165015305
ABCA1,0.013583305,0.056677451,0.231821488,0.817297972,0.856255457,-7.138271509
ABCA11P,-0.535253204,-0.00511977,-4.523237789,2.20E-05,7.74E-05,1.954639209
ABCA12,0.013651931,0.014292413,0.240049414,0.810936421,0.850874408,-7.13631773
ABCA13,-0.121148447,0.150538964,-0.89272456,0.374814795,0.45208487,-6.766078626
ABCA17P,-0.027213538,0.128877064,-0.152889054,0.878889822,0.907099469,-7.153555947
ABCA2,0.358816996,0.104315361,3.410572683,0.00103969,0.002499509,-1.716062543
ABCA3,0.054609614,0.037244314,0.347860833,0.72890362,0.78114142,-7.104435769
ABCA4,-0.107805718,0.002588648,-1.521013725,0.132394563,0.184517033,-6.01770294
ABCA5,0.523750235,0.261307136,3.371817372,0.001175423,0.0027905,-1.830977165
ABCA6,0.312703857,0.112141863,2.804874816,0.006383746,0.012717699,-3.395927793
ABCA7,0.603068542,0.135296307,3.552274207,0.000659051,0.001663046,-1.2877865
ABCA8,4.010713264,0.739625365,10.45823248,2.20E-16,1.02E-14,26.87150033
ABCA9,1.234096924,0.261496048,7.751449044,3.24E-11,4.25E-10,15.09939671
ABCB1,0.103890569,0.129393961,0.826489712,0.411106325,0.488434671,-6.822869202
ABCB10,0.134408472,-0.038811381,0.575905548,0.566375737,0.636653564,-6.998664453
ABCB11,0.090003478,0.04693849,1.392812065,0.167726362,0.226721858,-6.200687893
ABCB4,0.510463511,0.530222107,3.248623051,0.001726162,0.00392721,-2.189765038
ABCB4///ABCB1,0.533402925,0.180690449,3.646625528,0.000483527,0.001259164,-0.99572745
ABCB5,0.550004806,0.375356348,3.860816604,0.000235217,0.000654489,-0.313094992
ABCB6,-0.046409337,0.048138411,-0.552397595,0.582292391,0.650533898,-7.011965941
ABCB7,0.236215607,0.092549555,1.932853377,0.056969199,0.088496398,-5.328855489
ABCB8,0.55588877,0.090075027,7.532456579,8.48E-11,1.00E-09,14.14937743
ABCB8///ASIC3,-0.195330125,0.027695854,-2.687403654,0.00883755,0.017008419,-3.691402505
ABCB9,0.201156168,0.050103726,1.600334676,0.113661709,0.161643317,-5.896905093
