Gene.Name,GSM997591,GSM997592,GSM997593,GSM997594,GSM997595,GSM997596,GSM997597,GSM997598,GSM997599,GSM997600,GSM997601,GSM997602,GSM997603,GSM997604,GSM997605,GSM997606,GSM997607,GSM997608,GSM997609,GSM997610,GSM997611,GSM997612,GSM997613,GSM997614,GSM997615,GSM997616,GSM997617,GSM997618,GSM997619,GSM997620,GSM997621,GSM997622,GSM997623,GSM997624,GSM997625,GSM997626,GSM997627,GSM997628,GSM997629,GSM997630,GSM997631,GSM997632,GSM997633,GSM997634,GSM997635,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
A2M,0.20442343,1.0176415,0.6839185,-0.17854548,0.26020336,0.47796059999999996,0.64840984,0.14173222,0.5675024999999999,-0.51684546,-0.38335443,-0.30104709999999996,-0.23981857,0.46392488,0.20341492,-0.5451579000000001,-0.54677343,-0.46825552,-0.7172389,-0.42160034,-0.72049856,-0.10643196,-0.5870738,-0.20828938,0.13061619,-0.35078073,-0.75718427,0.08975172,-0.5408926,-0.33143067,0.0344882,-0.19694089999999997,-0.29484653,-0.19523144,-0.30398536,-0.47655702,-0.16517020000000002,-0.6577947,-0.6459408,-0.15718937,-0.6388866999999999,-0.4941771,-0.32505822,-0.17348647,0.09918356,0.049788475,0.28838348,0.19785404,0.23460484,-0.018870354,0.48270559999999996,0.29056787,0.058212757000000004,1.0084214,0.163136,0.04016018,0.17370081,0.03948164,0.49372673,0.2283268,0.38568878,-0.09310818,0.1997981,0.30241108,0.18950176,-0.066223145,0.52312136,-0.005077839000000001,0.7190919,-0.26963997,-0.28479552,0.0,0.20002842,0.19377422,-0.10515785,0.13468313,0.25885248
A2ML1,-0.19731736,0.27658963,0.68064785,0.08726907,-0.07963419,-0.020656109,0.5734338999999999,-0.027513503999999998,0.04589653,-0.12315655,0.9862263000000001,0.18235588,-0.20869493,-0.25201964,0.23284029999999997,-0.08661389,-0.13261795,-0.006613730999999999,-0.0961256,0.17726898,0.8085555999999999,-0.39259099999999997,-0.17871761,-0.19359064,-0.34558082,0.5523256999999999,-0.2302053,-0.26136279999999995,-0.044384718,-0.09812403,-0.053134203,-0.13687420000000003,-0.26155758,-0.10302186,-0.16186357,0.31223965,-0.48114634,0.14130354,-0.32171202,-0.27643967,-0.19799589999999997,-0.18081427,0.012390851999999999,-0.32278609999999996,-0.35963607,0.06571102,0.049113035,-0.016470432,-0.061794758,2.4303277000000003,0.08692312,-0.1520567,0.0032279490000000004,-0.056110382,0.11217642,0.14655662,0.27414608,-0.30508159999999995,1.1506851,0.05598378,0.19598484,-0.10638022400000001,0.29014707,-0.1935842,0.62043285,0.11979008,0.10233998,0.59755325,0.0,0.20161700000000002,0.026228905,0.16177750000000002,0.21768904,0.05084181,0.29795240000000006,0.35797763,0.24325967
ABI3BP,0.49228406,2.0102932,0.9042809000000002,1.008034,0.17490125,1.5206520000000001,1.458288,1.1062934,0.33534455,0.08265185,0.47666620000000004,0.16260362,-0.13170624,-0.071198225,0.34211898,-0.08759713,0.15899849,0.25389075,-0.19790077,-0.31621885,0.18577862,0.44691205,-0.030825138,-0.26598644,0.16481376,0.25466228,0.050508738,0.77039266,-0.20182967,-0.36020517,0.4375651,1.8810436999999998,-0.4089656,-0.11590171,0.52965,0.014678716999999999,-0.12700605,-0.0032205579999999997,-0.4180982,2.5532882000000003,1.5548646000000002,3.8711263999999996,2.8718654999999997,0.8673011999999999,2.194029,-0.19889331,-0.02880764,-0.16744018,1.0383456,-0.27282286,-0.15892291,-0.14295697,0.08744407,-0.024505377000000002,0.05669284,-0.045500755,-0.077564,-0.11444998,0.66465354,-0.12020588,-0.24221063,-0.14798927,-0.26420903,-0.13409948,0.025271653999999998,-0.29606938,-0.124973536,-0.20493412,0.027142762999999997,-0.15127420000000003,-0.31459856,-0.35449982,-0.1353147,-0.019430398999999998,0.05660653,-0.12898898,0.0
ACAN,0.46247435,1.0875721,1.3235145000000001,0.78922653,0.5089855,-0.01527977,0.5298972,0.38742113,-0.20931196,1.1955643,1.7525724999999999,0.38185167,0.28469992,0.3396554,1.8698763999999999,0.79019976,0.97166014,0.15437317,0.16804028,0.80400515,-0.19444466,0.5969876999999999,0.7472706,0.32533836,0.25103188,-0.50580883,-0.34203672,0.2659273,-0.21015453,0.16345453,1.0114417,0.40709829999999997,0.55386543,0.4191532,0.0,-0.13984728,0.12292862,0.32342148,0.3314376,-0.268847,-0.5985832,-0.49077463,-0.7348956999999999,-0.8588686,-0.14289904,-0.24274778,0.072936535,-0.30201292,0.113492966,-0.25023365,-0.051437378,-0.22105598,-0.02579546,0.11572504,-0.25960684,-0.18401432,-0.03413725,-0.258646,0.27092075,-0.011115073999999999,-0.04388523,-0.017760754,-0.12521600000000002,-0.16274023,0.15835476,-0.27233076,-0.3449669,-0.18041182,0.2568879,-0.4031248,-0.16898584,-0.358881,-0.17944765,-0.03628683,-0.09271622,-0.12526894,0.28333187
ADAM15,0.2066145,0.10071802,-0.14050722,-0.020955086,-0.43491888,-0.009732246,0.07945442,0.37356090000000003,0.36575603,0.6120305,1.1721597,0.044532300000000004,0.051905632,0.12403107,0.70324373,0.8797879000000001,0.24691391,0.22787952,0.046836376,0.9519924999999999,0.029446602000000002,0.49085236,0.50704765,0.41122103,0.9189209999999999,-0.1473527,-0.52316666,-0.021719456,-0.34607887,0.31803036,-0.065814495,0.17776394,-0.24153805,-0.21051455,-0.13760042,-0.024562836,-0.102044106,0.12233257,-0.08587694,-0.010790348,-0.51884556,-0.5425625,-0.36124754,-0.19678545,-0.36379004,-0.20775509,-0.11342335,0.16280842,0.08149004,-0.14436388,-0.08810520000000001,0.30679274,0.18211603,0.029446602000000002,0.029446602000000002,-0.23688269,0.10794783,0.08125496,-0.08841133,0.39604664,-0.11997461,-0.030399799999999998,0.029446602000000002,-0.23772907,0.13172436,0.011160851000000001,-0.059334278,-0.0019483570000000002,-0.12346935,-0.0926404,0.13467455,-0.3421769,0.0,0.045025826,-0.19126606,-0.069999695,-0.24454689
ADAM17,-0.018409729,-0.76528215,-0.29805136,-0.2292862,0.061959743,0.1360259,-0.7798829,-0.31818247,-0.7099409000000001,0.4890771,-0.77340174,1.5631614,0.3476038,0.8526168,-0.96409893,0.6426468000000001,0.39082003,0.2070775,0.53977346,0.37169409999999997,-0.19632387,0.5203624,0.8903518,0.14483547,0.39129066,-0.43615007,0.0,0.7726126,0.35664177,0.047099113,0.47583103,-0.075817585,1.069552,0.9635267,0.6663618,-0.27451134,0.715827,1.041307,0.36206007,0.23272467,0.6192064,0.34585570000000004,0.17912197,0.30030107,0.13784075,-0.11019754400000001,-0.37940693,0.08977127,-1.0096469000000001,0.4694481,-0.5411134,0.003035545,-0.05538559,0.28586388,-0.73980045,-0.2903142,0.11328268,-0.018409729,-1.6114507,-0.052371502,-0.28014898,-0.20485401,-0.24051905,-0.90637636,-0.45891809999999994,0.36950445,-0.57673407,-0.2926607,-0.37440348,0.13359737,-0.2516942,-0.692152,-0.6365299,-0.073497295,-0.7445444999999999,-0.7559314,-1.0423465
ADAM18,1.1163281999999999,0.33998156,1.123384,1.5332246,0.65488005,1.3290353000000001,0.643641,0.2590115,0.0209198,0.16821766,0.08589053,0.14846134,-0.2753055,-0.1819036,0.99148464,-0.23441076,-0.12862062,-0.1550529,-0.1900711,0.058808804000000006,0.059235095999999994,0.6338923000000001,0.080176115,-0.33516622,0.20692539,0.095683336,0.11487794,0.22565031,-0.24821615,0.26259804,0.045197487,-0.12239194,-0.24971938,-0.11501407599999999,0.17905903,-0.3751335,0.0,0.007335186,0.11077404,-0.48482585,-0.45104814,-0.6502633000000001,-0.31867957,-0.51219153,-0.29328775,0.20663357,-0.11194658,-0.011897564,0.26447058,-0.09955835,-0.011232853000000001,-0.011860848,-0.039396286,-0.010515213,0.1920259,-0.10794401,-0.05212879,0.09186292,0.23288965,0.04722333,-0.030567646,0.04392481,0.20708418,-0.12511444,0.03908944,0.116719484,-0.16509056,-0.010515213,0.05715537,-0.08604860000000002,-0.5279064,-0.010515213,0.13160086,-0.29367232,-0.13029385,-0.12344456,-0.01539588
ADAM20,-0.050038815,0.19136667,0.25340223,-0.42865562,-0.06307793,-0.065410614,0.31282568,0.2879882,0.8173313,-0.81510115,0.2116251,-0.36555052,-0.8240366,-0.64514136,-0.028388977000000003,0.40839672,-0.34717798,-0.36723852,-0.07184553,0.08845997,-0.19578314,0.23182058,-0.14120531,-0.10826206,0.11398219999999999,-0.42467904,-0.10157728,-0.28380775,0.14225197,-0.6872988,0.19667721,-0.12995577,-0.027578354,-0.30477524,-0.5078018,-0.25335073,-0.1468134,-0.5258789,-0.27401876,-0.35475302,-0.7191243,-0.30548525,-0.31809282,-0.35293055,-0.34896517,0.20155716,0.06975365,0.0334692,0.3831215,0.16658258,0.19153738,0.3594365,0.31917763,0.09186697,-0.20261955,-0.096105576,0.19838333,0.109140396,0.05924511,0.27077866,0.28038979999999997,0.095746994,0.0384264,0.21268415,0.39492226,0.0,0.054152966,0.024600506,0.27813720000000003,-0.00779295,-0.01107502,-0.05902624,0.14798737,0.27350378,0.13580847,0.06298208,0.26933956
ADAM21,-0.15593147,-0.17400265,-0.17753172,-0.43209338,-0.44973707,0.17513657,0.7998605,0.14829731,0.17288971,-0.86300683,-0.18009853,-0.6552508,-0.38277054,-0.15275764,0.048210144,-0.51543975,-0.5894606,-0.40437746,-0.3636179,-0.7834606,-0.30533123,0.45299529999999993,-0.5747441999999999,-0.38860416,-0.5814023,-0.21309853,0.007359505,0.09467983,0.38211918,-0.37147759999999996,-0.49186587,-0.63308144,-0.26149654,-0.29387379999999996,-0.06428385,0.23723221,-0.36748457,-0.5592809,-0.59581876,-0.58419275,-0.7081852,-0.1867094,-0.29443455,-0.5647993,-0.8584528,0.2261982,0.009194374,0.36474323,0.36252594,-0.08465958,0.5009011999999999,0.2558956,0.87922955,0.31208086,0.62746954,0.44628429999999997,0.2433672,-0.07923794,0.48230553,0.14574146,0.14894200000000002,0.2244463,0.21072006,0.04774475,0.28896236,0.3288021,0.103710175,0.25005722,0.39373969999999997,0.4223523,-0.094613075,0.54774284,0.34319782,0.0,0.07677364,0.32916449999999997,0.22150612
ADAM30,1.6014781,0.563149,0.5530238000000001,1.1369966999999999,0.7130026999999999,0.9245905999999999,0.9245085999999999,0.6112132,0.00712347,-0.014837742,1.362874,-0.006264687,-0.7566571,-0.15503216,1.3599748999999999,0.10983419400000001,-0.22394753,-0.0842433,-0.16614579999999998,0.02783823,-0.39065027,0.21606207,-0.13855505,-0.15899134,0.23165083,0.2924075,-0.26648903,0.65018606,0.055909157,-0.23115826,0.32030678,0.16091919,-0.45901918,0.3618493,0.21938181,0.16590261,-0.022109509,-0.03162241,-0.48554182,-0.38771534,-0.5091214,-0.96514845,-0.5779233,-0.8034091,-0.45631552,-0.24351835,0.09094572,-0.054939747000000004,0.3372426,0.26795197,0.080329895,-0.42558336,0.075111866,-0.14584494,0.03334093,-0.15556622,-0.090082645,-0.16150522,0.7030158000000001,-0.34437466,0.2999215,-0.18262386,0.50546646,-0.19159746,-0.009955406,-0.015508175,-0.1889739,0.0,0.24343157,0.042943478,-0.08996439,0.5284753000000001,0.25174952,-0.20197535,0.005046368,-0.213202,0.10950613
