Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ABI3BP,-2.195790323,0.31798204,-10.59501994,1.21e-16,1.68e-14,27.46384156
ACAN,0.923238827,0.14971453199999998,5.164104128,1.87e-06,3.0299999999999998e-05,4.355465787
ADAM12,2.505918607,0.773886222,4.658486032,1.3300000000000001e-05,0.000153288,2.460560288
ADAM15,0.5418987,0.051864723,4.010935991,0.000139986,0.001020548,0.198356053
ADAM18,0.480238001,0.06271436700000001,4.119032786,9.570000000000001e-05,0.000758825,0.561497467
ADAM19,1.134728912,0.132395296,3.879630925,0.00022054,0.001455055,-0.234262532
ADAM30,0.6795395479999999,0.079721402,4.26445984,5.6899999999999994e-05,0.000502181,1.059608428
ADAM7,0.40817721100000004,0.066264065,4.09483634,0.00010424200000000001,0.0008138999999999999,0.479675649
ADAM8,1.13575246,0.242764471,3.360753476,0.001217135,0.005322961,-1.84555608
ADAM9,-1.368125321,0.088309749,-8.020310692,9.890000000000001e-12,5.89e-10,16.28156193
ADAMDEC1,0.941845928,0.303732664,2.337259853,0.022053115,0.047269438,-4.490237907
ADAMTS10,0.45909880000000003,0.08006551599999999,2.7898054219999997,0.006659101999999999,0.019019526000000002,-3.4159486180000003
ADAMTS12,2.595219134,0.538393189,4.577208281,1.8e-05,0.000197118,2.165754095
ADAMTS13,0.445719015,0.07688879700000001,2.4874446,0.015051796000000001,0.03540821,-4.1514783710000005
ADAMTS14,0.9310022720000001,0.156142413,5.307975266000001,1.06e-06,1.83e-05,4.912103496
ADAMTS16,1.364292663,0.37225041200000003,4.223035437,6.6e-05,0.0005657269999999999,0.916631165
ADAMTS17,-1.33286279,0.145824603,-5.620141894,2.9899999999999996e-07,6.13e-06,6.143104685
ADAMTS2,1.605888952,0.542044022,3.199683561,0.002005861,0.007795356999999999,-2.311328258
ADAMTS3,-3.22553964,0.49035806200000004,-7.6483188339999995,5.1000000000000005e-11,2.6e-09,14.66413476
