Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
18S ribosomal RNA,-4.0171484,-0.157651912,-12.58377391,2.74E-20,5.77E-18,35.77080605
28S ribosomal RNA,-0.06199222,0.027058462,-1.198910815,0.234277026,0.311284419,-6.397515102
A1BG,-0.544710561,0.122324386,-3.409895758,0.001041929,0.002719803,-1.670601632
A1BG-AS1,-1.426477131,0.151787493,-8.803472989,3.11E-13,7.83E-12,19.71710862
A1CF,-0.81896909,0.125447649,-6.853767182,1.64E-09,1.69E-08,11.26969534
A2M,-0.21905709,-0.020911214,-1.783067104,0.078556989,0.122723203,-5.546744102
A2M-AS1,-0.730288891,0.102561656,-3.872702565,0.00022584,0.000699914,-0.228039794
A2ML1,0.056115231,0.080568911,0.359990346,0.719850012,0.780015952,-7.048969712
A2MP1,-1.793611452,0.225740569,-8.452804408,1.46E-12,3.09E-11,18.18630882
A4GALT,-1.150778792,0.049829552,-7.010490781,8.29E-10,9.17E-09,11.93762243
A4GNT,-0.151752355,0.040484676,-1.501764756,0.137289851,0.197995702,-5.995677259
AA06,-0.395237826,0.019116458,-2.431671524,0.017377325,0.032924756,-4.248766795
AAAS,-0.351442576,0.037221197,-2.54494149,0.012950765,0.025453648,-3.986533642
AACS,0.127187667,0.054374367,0.58714007,0.558845004,0.63767561,-6.941032999
AACSP1,-0.292098043,0.110678293,-1.449716291,0.151240313,0.215126807,-6.070827955
AADAC,-0.079732125,0.372314385,-0.245118703,0.807023321,0.852444037,-7.083908507
AADACL2,0.022787057,0.32689233,0.136096911,0.892103511,0.918590092,-7.104814156
AADACP1,0.657826643,0.184589186,3.139723067,0.002406341,0.005718856,-2.450455861
AADAT,0.39108993,0.052962896,2.483283255,0.015215134,0.029340926,-4.130536448
AAED1,0.29660081,0.076467295,1.381121584,0.171277773,0.239444063,-6.166033373
AAGAB,-1.681294332,0.225149452,-9.837484356,3.28E-15,1.39E-13,24.21504015
AAK1,-0.350418156,0.041928614,-1.26096652,0.211167284,0.285474734,-6.322196313
AAMDC,-0.201944422,0.035340269,-2.346780098,0.0215356,0.039825447,-4.438598531
AAMP,0.725985359,-0.045770836,3.675376524,0.000439562,0.001263095,-0.858785235
AANAT,0.323453023,-0.005764191,3.015935396,0.00347981,0.007927503,-2.791264408
AAR2,0.809290724,-0.09128438,4.416149464,3.27E-05,0.000123461,1.61822951
AARS,0.853302354,-0.025541843,4.140153767,8.88E-05,0.000302766,0.661520481
AARS2,-0.024937377,0.035686759,-0.13632635,0.891922751,0.91858806,-7.104782707
AASDH,0.57022553,0.140975671,2.814611275,0.006211433,0.013260088,-3.32231624
AASDHPPT,-0.110392855,-0.010866425,-1.179666809,0.241801938,0.31961697,-6.420129198
AASS,-1.619034781,0.057292074,-7.998639289,1.09E-11,1.89E-10,16.20606941
AATBC,-2.421715753,0.220251354,-7.892139865,1.74E-11,2.88E-10,15.74270982
AATF,0.76597028,-0.021890928,3.81167652,0.000278086,0.00084452,-0.425503361
AATK,0.974619228,0.024635323,5.353819428,8.79E-07,4.85E-06,5.116975196
ABAT,-0.223385486,0.106029978,-0.48553559,0.628689367,0.700712566,-6.995674787
ABCA1,-0.410355999,0.056677451,-4.464917659,2.73E-05,0.000105045,1.791110595
ABCA11P,0.849266921,-0.00511977,4.5755023,1.81E-05,7.25E-05,2.187182999
ABCA12,-0.072853775,0.014292413,-0.816700932,0.416644869,0.503440219,-6.779920341
ABCA13,0.233004765,0.150538964,1.094633816,0.277124447,0.358940449,-6.51582125
ABCA17P,0.852352824,0.128877064,3.052918531,0.00311978,0.007186878,-2.69056183
ABCA2,-0.671941056,0.104315361,-4.071832511,0.000113056,0.000375856,0.430636729
ABCA3,-0.273261349,0.037244314,-1.109734423,0.270602689,0.351785079,-6.49933315
ABCA4,-0.142505615,0.002588648,-1.281822051,0.203790811,0.277419967,-6.296064982
ABCA5,-0.481836671,0.261307136,-1.977625658,0.051586527,0.085237028,-5.194981535
ABCA6,-0.101489192,0.112141863,-0.580369347,0.563377621,0.64175485,-6.944993501
ABCA7,-0.719151042,0.135296307,-2.700625395,0.00852374,0.017544092,-3.609804356
ABCA8,-7.001492045,0.739625365,-11.63942974,1.40E-18,1.50E-16,31.88355172
ABCA9,-0.648850152,0.261496048,-2.598259136,0.011242845,0.022418096,-3.859615328
ABCB1,-0.31835269,0.129393961,-1.614634687,0.110522575,0.164385685,-5.824159097
ABCB10,1.520333107,-0.038811381,4.153056092,8.48E-05,0.000290399,0.705394816
ABCB11,-0.362143327,0.04693849,-3.572877628,0.00061621,0.001709463,-1.17735997
ABCB4,-3.048848164,0.530222107,-12.37014644,6.61E-20,1.17E-17,34.90056119
ABCB4///ABCB1,-0.262232922,0.180690449,-1.14295048,0.256636783,0.336082663,-6.462296176
ABCB5,-2.720243121,0.375356348,-12.17376276,1.49E-19,2.29E-17,34.09576176
ABCB6,-0.617981346,0.048138411,-4.689496381,1.18E-05,4.95E-05,2.601169926
ABCB7,0.828792174,0.092549555,4.323549032,4.59E-05,0.000167383,1.293066392
ABCB8,-0.600583801,0.090075027,-5.188320256,1.70E-06,8.74E-06,4.475033263
ABCB8///ASIC3,-0.246580134,0.027695854,-2.162848924,0.033688696,0.058879701,-4.829732741
ABCB9,-0.361249554,0.050103726,-1.832268881,0.070817683,0.112210477,-5.460926067
ABCC1,0.036049992,0.021360751,0.259011937,0.796324312,0.843428148,-7.080386527
ABCC10,0.089678601,0.014199245,0.492903091,0.623498205,0.69565945,-6.992058288
ABCC11,-0.449876557,0.077851792,-3.470311407,0.00085908,0.002288648,-1.489705416
ABCC12,-0.091599943,0.02426191,-0.955468405,0.342361727,0.428332861,-6.657433109
ABCC13,-4.116715156,0.562279356,-13.73238076,2.63E-22,1.36E-19,40.35257852
ABCC2,-0.543483916,0.062779361,-4.356102511,4.08E-05,0.000150531,1.406907905
ABCC3,0.072727577,0.282844005,0.223934165,0.823407729,0.866004503,-7.088905742
ABCC4,-4.234100611,0.637909677,-10.71813658,7.14E-17,4.61E-15,27.99840155
ABCC5,0.012463263,0.021259258,0.084146775,0.933160372,0.949787313,-7.110571494
ABCC6P1,-0.653256845,0.097786085,-5.127664641,2.16E-06,1.08E-05,4.242135593
ABCC8,-0.386073561,0.03517134,-2.338088705,0.022007624,0.040556595,-4.457705717
ABCC9,-2.588343913,0.305032082,-10.5020638,1.82E-16,1.02E-14,27.07567959
ABCD1,0.418362678,-0.015084365,3.147087174,0.002353415,0.005604463,-2.429847295
ABCD2,-0.113208777,0.045872852,-1.166988921,0.246853177,0.325210437,-6.434834547
ABCD3,-0.412810049,0.119814768,-2.204922444,0.030475655,0.053887128,-4.742729669
ABCD4,0.210075125,0.003396691,1.716849579,0.090068272,0.137790504,-5.658844728
ABCE1,-1.258175473,-0.012155073,-4.984480115,3.79E-06,1.79E-05,3.697672319
ABCF1,2.255306916,-0.278807473,8.044153964,8.91E-12,1.59E-10,16.40424466
ABCF2,-2.414046344,0.358192308,-9.338507053,2.93E-14,9.67E-13,22.04947145
ABCF3,-0.221385909,0.040875,-1.362696515,0.176991209,0.24613065,-6.190859259
ABCG1,0.177554328,0.160213665,0.560156968,0.577015203,0.654142892,-6.956545736
ABCG2,-0.473854396,0.3403268,-1.307886127,0.194843164,0.267259874,-6.262830813
ABCG4,-0.603200974,0.049296739,-3.916854537,0.000194045,0.000611122,-0.083869914
ABCG5,0.129256636,0.003844395,1.075485926,0.285550113,0.368158344,-6.536413697
ABCG8,-0.0394473,0.046919909,-0.30587504,0.760533728,0.813664899,-7.06707778
