Gene.Name,GSM997591,GSM997592,GSM997593,GSM997594,GSM997595,GSM997596,GSM997597,GSM997598,GSM997599,GSM997600,GSM997601,GSM997602,GSM997603,GSM997604,GSM997605,GSM997606,GSM997607,GSM997608,GSM997609,GSM997610,GSM997611,GSM997612,GSM997613,GSM997614,GSM997615,GSM997616,GSM997617,GSM997618,GSM997619,GSM997620,GSM997621,GSM997622,GSM997623,GSM997624,GSM997625,GSM997626,GSM997627,GSM997628,GSM997629,GSM997630,GSM997631,GSM997632,GSM997633,GSM997634,GSM997635,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
ABI3BP,0.49228406,2.0102932,0.9042809000000002,1.008034,0.17490125,1.5206520000000001,1.458288,1.1062934,0.33534455,0.08265185,0.47666620000000004,0.16260362,-0.13170624,-0.071198225,0.34211898,-0.08759713,0.15899849,0.25389075,-0.19790077,-0.31621885,0.18577862,0.44691205,-0.030825138,-0.26598644,0.16481376,0.25466228,0.050508738,0.77039266,-0.20182967,-0.36020517,0.4375651,1.8810436999999998,-0.4089656,-0.11590171,0.52965,0.014678716999999999,-0.12700605,-0.0032205579999999997,-0.4180982,2.5532882000000003,1.5548646000000002,3.8711263999999996,2.8718654999999997,0.8673011999999999,2.194029,-0.19889331,-0.02880764,-0.16744018,1.0383456,-0.27282286,-0.15892291,-0.14295697,0.08744407,-0.024505377000000002,0.05669284,-0.045500755,-0.077564,-0.11444998,0.66465354,-0.12020588,-0.24221063,-0.14798927,-0.26420903,-0.13409948,0.025271653999999998,-0.29606938,-0.124973536,-0.20493412,0.027142762999999997,-0.15127420000000003,-0.31459856,-0.35449982,-0.1353147,-0.019430398999999998,0.05660653,-0.12898898,0.0
ACAN,0.46247435,1.0875721,1.3235145000000001,0.78922653,0.5089855,-0.01527977,0.5298972,0.38742113,-0.20931196,1.1955643,1.7525724999999999,0.38185167,0.28469992,0.3396554,1.8698763999999999,0.79019976,0.97166014,0.15437317,0.16804028,0.80400515,-0.19444466,0.5969876999999999,0.7472706,0.32533836,0.25103188,-0.50580883,-0.34203672,0.2659273,-0.21015453,0.16345453,1.0114417,0.40709829999999997,0.55386543,0.4191532,0.0,-0.13984728,0.12292862,0.32342148,0.3314376,-0.268847,-0.5985832,-0.49077463,-0.7348956999999999,-0.8588686,-0.14289904,-0.24274778,0.072936535,-0.30201292,0.113492966,-0.25023365,-0.051437378,-0.22105598,-0.02579546,0.11572504,-0.25960684,-0.18401432,-0.03413725,-0.258646,0.27092075,-0.011115073999999999,-0.04388523,-0.017760754,-0.12521600000000002,-0.16274023,0.15835476,-0.27233076,-0.3449669,-0.18041182,0.2568879,-0.4031248,-0.16898584,-0.358881,-0.17944765,-0.03628683,-0.09271622,-0.12526894,0.28333187
ADAM12,-0.30067587,-0.17522812,-0.43236113,0.7163748999999999,0.47058344,0.78921986,0.12589216,0.44508696,1.1066504,3.4417062000000005,1.1886382,3.5411735,1.1926322,2.9268302999999998,0.44411182,3.3546032999999995,0.55127144,4.3408475,1.365582,2.9667529999999998,1.6188865,3.0412282999999998,3.2595115000000003,4.2441354,-0.22124052,1.4068273999999998,-0.47840643,-0.59930706,-0.07977867,0.45426083,2.7520113,-0.64830446,3.543015,3.6634830999999997,5.151722400000001,1.718689,0.5802274000000001,0.46199036,6.357956400000001,-0.7198992,-0.956404,-0.84841394,-0.39668274,0.5198231,-0.5085721,-0.38550806,-0.056579113,0.0,-0.42439985,-0.17883062,-0.22555685,-0.7993717,-0.35742283,-0.40322733,-0.115395546,-0.09411096599999999,0.9293151,-0.42682886,-0.19005442,-0.26940775,-0.11299133,0.7296314,-0.28971624,-0.6421733000000001,-0.2267623,-0.40478516,-0.56586266,1.3850551000000002,-0.08166169999999999,-0.08490133,-0.1555996,0.09150267,0.98108196,-0.27328396,-0.091909885,-0.015027523000000001,0.9675708000000001
ADAM15,0.2066145,0.10071802,-0.14050722,-0.020955086,-0.43491888,-0.009732246,0.07945442,0.37356090000000003,0.36575603,0.6120305,1.1721597,0.044532300000000004,0.051905632,0.12403107,0.70324373,0.8797879000000001,0.24691391,0.22787952,0.046836376,0.9519924999999999,0.029446602000000002,0.49085236,0.50704765,0.41122103,0.9189209999999999,-0.1473527,-0.52316666,-0.021719456,-0.34607887,0.31803036,-0.065814495,0.17776394,-0.24153805,-0.21051455,-0.13760042,-0.024562836,-0.102044106,0.12233257,-0.08587694,-0.010790348,-0.51884556,-0.5425625,-0.36124754,-0.19678545,-0.36379004,-0.20775509,-0.11342335,0.16280842,0.08149004,-0.14436388,-0.08810520000000001,0.30679274,0.18211603,0.029446602000000002,0.029446602000000002,-0.23688269,0.10794783,0.08125496,-0.08841133,0.39604664,-0.11997461,-0.030399799999999998,0.029446602000000002,-0.23772907,0.13172436,0.011160851000000001,-0.059334278,-0.0019483570000000002,-0.12346935,-0.0926404,0.13467455,-0.3421769,0.0,0.045025826,-0.19126606,-0.069999695,-0.24454689
ADAM18,1.1163281999999999,0.33998156,1.123384,1.5332246,0.65488005,1.3290353000000001,0.643641,0.2590115,0.0209198,0.16821766,0.08589053,0.14846134,-0.2753055,-0.1819036,0.99148464,-0.23441076,-0.12862062,-0.1550529,-0.1900711,0.058808804000000006,0.059235095999999994,0.6338923000000001,0.080176115,-0.33516622,0.20692539,0.095683336,0.11487794,0.22565031,-0.24821615,0.26259804,0.045197487,-0.12239194,-0.24971938,-0.11501407599999999,0.17905903,-0.3751335,0.0,0.007335186,0.11077404,-0.48482585,-0.45104814,-0.6502633000000001,-0.31867957,-0.51219153,-0.29328775,0.20663357,-0.11194658,-0.011897564,0.26447058,-0.09955835,-0.011232853000000001,-0.011860848,-0.039396286,-0.010515213,0.1920259,-0.10794401,-0.05212879,0.09186292,0.23288965,0.04722333,-0.030567646,0.04392481,0.20708418,-0.12511444,0.03908944,0.116719484,-0.16509056,-0.010515213,0.05715537,-0.08604860000000002,-0.5279064,-0.010515213,0.13160086,-0.29367232,-0.13029385,-0.12344456,-0.01539588
ADAM19,-0.5967159000000001,-0.624197,-0.018261433,-1.0337062,-0.80384445,-0.86077595,0.14948559,-0.3580041,0.20095444,1.112001,-0.42038965,1.0329361,-0.08999395,0.9659610000000001,-0.6060485999999999,0.87492657,1.1243448,0.085469246,0.33258247,1.2911701,0.47350264,-0.8418369000000001,0.99485826,1.1690998,-0.7162075,0.21607065,0.055921555,1.8681560000000001,-0.7922621,-0.051325798,1.7111983,-0.34219742,0.8223934000000002,1.4123707,1.7386331999999998,0.90554905,-0.17518806,-0.24130869,3.2111560000000003,-0.031080722999999998,-0.30281162,-0.9434118,-0.7952595,-0.7713045999999999,-0.61176395,0.3627944,-0.23651314,-0.15269470000000002,0.061552048,0.13165570000000001,0.12567616,0.062636375,0.0,-0.30512285,0.039387702999999996,0.34816074,0.48111296,-0.16693401,-0.20379353,-0.36634445,0.31470679999999995,-0.26953745,-0.3937812,-0.5967665,-0.21375465,-0.41562653,-0.3213873,0.57787323,0.013559341,-0.2791853,0.86932755,0.2574439,0.3922515,-0.6866741,0.6930113,-0.19481802,0.5453768
ADAM30,1.6014781,0.563149,0.5530238000000001,1.1369966999999999,0.7130026999999999,0.9245905999999999,0.9245085999999999,0.6112132,0.00712347,-0.014837742,1.362874,-0.006264687,-0.7566571,-0.15503216,1.3599748999999999,0.10983419400000001,-0.22394753,-0.0842433,-0.16614579999999998,0.02783823,-0.39065027,0.21606207,-0.13855505,-0.15899134,0.23165083,0.2924075,-0.26648903,0.65018606,0.055909157,-0.23115826,0.32030678,0.16091919,-0.45901918,0.3618493,0.21938181,0.16590261,-0.022109509,-0.03162241,-0.48554182,-0.38771534,-0.5091214,-0.96514845,-0.5779233,-0.8034091,-0.45631552,-0.24351835,0.09094572,-0.054939747000000004,0.3372426,0.26795197,0.080329895,-0.42558336,0.075111866,-0.14584494,0.03334093,-0.15556622,-0.090082645,-0.16150522,0.7030158000000001,-0.34437466,0.2999215,-0.18262386,0.50546646,-0.19159746,-0.009955406,-0.015508175,-0.1889739,0.0,0.24343157,0.042943478,-0.08996439,0.5284753000000001,0.25174952,-0.20197535,0.005046368,-0.213202,0.10950613
ADAM7,0.2166791,0.21924925,0.3484156,0.001157045,0.37620687,0.39027740000000005,0.05957675,0.42289805,0.08067703,0.45102334,0.7724006,0.14213395,-0.0042278770000000005,-0.05915475,0.9120488000000001,-0.026680707999999997,0.24486637,0.15881681,0.1765759,0.16320133,-0.25629282,0.769938,-0.012513399,0.03913188,0.40378022,0.11660552,0.3670671,0.20964432,0.10072827,-0.014259338,0.11241245,-0.13153148,0.24417399999999997,-0.2058971,0.51381063,0.00684166,-0.33388162,0.39529443,0.060557365,-0.11188984,-0.33304214,-0.10613489,-0.27074790000000004,-0.32245445,-0.2601571,-0.018620253,-0.01019907,-0.18598699999999999,0.25248265,-0.10176444,-0.03180337,-0.037985563,0.11242533,0.0372684,-0.07451439,-0.016581535,-0.036188364,-0.17822313,0.21335125,-0.14121175,0.0,-0.12533139999999998,0.22852683,-0.13014436,-0.059402943,-0.15534139,-0.10403085,-0.09166669999999999,0.09863138,-0.059351444,-0.20038295,-0.06598258,-0.1864829,-0.12114835,-0.03378415,0.033276558,0.26517487
ADAM8,0.098148346,-0.38335514,-0.9493475,-1.0191154,-0.4531517,-0.9535674999999999,-0.25683308,0.053685665,-0.45450497,0.6947899000000001,-0.33767414,1.1701416999999998,-0.5111064999999999,1.3302412000000001,2.007101,1.1690221,2.3684607000000004,0.18649960000000002,1.2869271999999998,2.120205,0.6714883,0.8535843000000001,1.0506124,1.5222225,0.6388588000000001,-0.551075,-0.66999626,0.0,-0.45934868,1.3170823999999999,1.5778131000000002,-0.09734726,2.3915033,2.1215509999999997,-0.14828682,1.1726279,0.11097479,0.5313263,0.41928482,0.32366133,-0.3116007,-0.1391716,-0.49345684,-0.6327343000000001,-1.0161200000000001,1.1385708,-0.48584510000000003,0.24268818,-0.11452770000000001,-0.23918724,0.110244274,-0.57431316,-0.7549534000000001,0.27824688,-0.23972511,0.24459505,0.38000393,1.9458756000000001,-0.74952316,0.24062538,-0.1664505,-0.52698326,0.5746889000000001,-0.8608836999999999,-0.074661255,-0.29876040000000004,1.2526007,-0.31136703,-0.5980996999999999,-0.6846914000000001,1.7833718999999997,-0.30966663,0.15308666,-0.16309357,0.5140643,-0.09571791,-0.26736832
ADAM9,-0.37946486,0.53371716,-0.066975355,-0.17925477,-0.33724332,0.23151302,0.39872932,0.02272582,-0.36275125,-0.33912396,-0.24264288,-0.48697376,0.15775514,-0.019192696000000002,0.24054289,0.32079697,-0.43171597,-0.46628284,0.013213158000000001,-0.2056799,-0.4044237,-0.30723190000000006,-0.6374965,-0.30236483,-0.07813048,-0.09921121599999999,-0.16136217,-0.2954731,-1.0957003,-0.43001342,0.10617304,-0.29094625,-0.55509996,0.044745684,-0.15624285,0.003705263,-0.46273804,-0.38154864,1.5622797,0.61595726,0.75535583,1.1619501,2.0358953,1.7146244,0.8095236,0.26425266,-0.08734417,-0.12450695,0.70830154,-0.15630722,0.046052694000000005,0.093673706,-0.137429,0.25223303,0.24767733,0.09652758,0.15112424,0.5694766,-0.27822733,0.0,0.44893837,0.2585311,-0.20328736,0.8121486,-0.124450445,0.26529598,0.23040819,0.38054752,-0.15376139,0.57455015,0.6374512,0.2358141,-0.18288946,0.30572987,0.21704435,-0.029088258999999998,-0.0725553
