Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
18S ribosomal RNA,-0.980714605,-0.157651912,-3.062239995,0.003034666,0.007119226,-2.462626288
28S ribosomal RNA,0.045118128,0.027058462,0.869769785,0.387157285,0.468957319,-6.517312416
A1BG,0.249052517,0.122324386,1.554067193,0.124311348,0.18002623,-5.702662433
A1BG-AS1,-1.001688318,0.151787493,-6.162052321,3.14E-08,3.61E-07,8.520058737
A1CF,-0.688577187,0.125447649,-5.744047423,1.80E-07,1.59E-06,6.824813683
A2M,-0.703401614,-0.020911214,-5.707123675,2.09E-07,1.81E-06,6.677193704
A2M-AS1,0.01706211,0.102561656,0.090189449,0.928373271,0.943834124,-6.890702549
A2ML1,-0.185173266,0.080568911,-1.184109682,0.24004944,0.313717497,-6.198122775
A2MP1,-1.905854815,0.225740569,-8.952942916,1.61E-13,1.46E-11,20.44491407
A4GALT,-0.812029221,0.049829552,-4.930963419,4.67E-06,2.59E-05,3.671632044
A4GNT,-0.141356748,0.040484676,-1.394397395,0.167249134,0.231222734,-5.932113109
AA06,-0.551001618,0.019116458,-3.379113899,0.001148656,0.003046297,-1.563155365
AAAS,-0.202886444,0.037221197,-1.464468413,0.14717884,0.207635135,-5.834308504
AACS,0.272080124,0.054374367,1.251979118,0.214406092,0.285254327,-6.116812812
AACSP1,-0.24270857,0.110678293,-1.200723564,0.233577009,0.306701809,-6.178621613
AADAC,-0.665242793,0.372314385,-2.038575678,0.044960915,0.074491238,-4.866181188
AADACL2,0.032178466,0.32689233,0.191570623,0.848588015,0.881679258,-6.876382369
AADACP1,0.033444574,0.184589186,0.159114258,0.873999749,0.902182756,-6.882087678
AADAT,-0.030195878,0.052962896,-0.191117668,0.848941619,0.881840488,-6.876469251
AAED1,1.207329137,0.076467295,5.603879802,3.19E-07,2.59E-06,6.266437197
AAGAB,-1.146422423,0.225149452,-6.68634109,3.37E-09,5.48E-08,10.69887543
AAK1,0.171539122,0.041928614,0.61529543,0.540192591,0.61664541,-6.705407115
AAMDC,-0.098188661,0.035340269,-1.137379574,0.258942803,0.33410568,-6.251568568
AAMP,0.386923083,-0.045770836,1.952550002,0.054545142,0.088217815,-5.029714938
AANAT,-0.027411101,-0.005764191,-0.254765636,0.799590298,0.84286983,-6.862247448
AAR2,0.736870189,-0.09128438,4.008055604,0.000141402,0.000495832,0.407669487
AARS,1.180816199,-0.025541843,5.710831945,2.06E-07,1.79E-06,6.692002446
AARS2,0.353705152,0.035686759,1.927409397,0.057655095,0.092455355,-5.076305098
AASDH,0.653198285,0.140975671,3.213811137,0.001921045,0.004775426,-2.040752285
AASDHPPT,-0.259981902,-0.010866425,-2.769268464,0.007051906,0.014846083,-3.232351062
AASS,-0.763439643,0.057292074,-3.759570135,0.000331659,0.001036832,-0.398604622
AATBC,-1.154799126,0.220251354,-3.751298324,0.000341022,0.001062284,-0.424846114
AATF,0.520586467,-0.021890928,2.582263411,0.011732489,0.023180194,-3.690627186
AATK,0.606781853,0.024635323,3.322499147,0.001372353,0.003556688,-1.72873964
ABAT,-0.230667357,0.106029978,-0.499753457,0.618688463,0.687276676,-6.769745466
ABCA1,-0.396772694,0.056677451,-4.303264033,4.94E-05,0.000198245,1.408301196
ABCA11P,0.314013717,-0.00511977,1.686346203,0.095818843,0.144216443,-5.494955116
ABCA12,-0.059201844,0.014292413,-0.661530352,0.510267336,0.588867851,-6.675962912
ABCA13,0.111856318,0.150538964,0.523803176,0.601935339,0.671938368,-6.757444001
ABCA17P,0.825139286,0.128877064,2.945958506,0.004268616,0.009576266,-2.775495334
ABCA2,-0.313124059,0.104315361,-1.89137967,0.062373212,0.0990421,-5.142119905
ABCA3,-0.218651735,0.037244314,-0.885110162,0.378881198,0.460730864,-6.503949089
ABCA4,-0.250311333,0.002588648,-2.244294395,0.027715353,0.048940151,-4.449735278
ABCA5,0.041913564,0.261307136,0.171475621,0.864304267,0.894286884,-6.880039163
ABCA6,0.211214665,0.112141863,1.203960639,0.232330733,0.30524574,-6.17479153
ABCA7,-0.1160825,0.135296307,-0.434524766,0.665135202,0.728759396,-6.800217069
ABCA8,-2.990778781,0.739625365,-4.955973139,4.24E-06,2.39E-05,3.765221418
ABCA9,0.585246772,0.261496048,2.336041904,0.022120111,0.040178036,-4.252711707
ABCB1,-0.214462121,0.129393961,-1.084226211,0.281682449,0.358614971,-6.309831067
ABCB10,1.654741579,-0.038811381,4.505705203,2.35E-05,0.000104391,2.11924695
ABCB11,-0.272139849,0.04693849,-2.676291066,0.009109403,0.018591113,-3.463510615
ABCB4,-2.538384654,0.530222107,-10.26597087,5.06E-16,1.32E-13,26.0939043
ABCB4///ABCB1,0.271170004,0.180690449,1.178108792,0.24241867,0.316441595,-6.20510219
ABCB5,-2.170238315,0.375356348,-9.681175424,6.50E-15,1.10E-12,23.58947691
ABCB6,-0.664390683,0.048138411,-5.025484325,3.23E-06,1.88E-05,4.026590181
ABCB7,1.065007781,0.092549555,5.537976109,4.18E-07,3.26E-06,6.005838557
ABCB8,-0.04469503,0.090075027,-0.384871673,0.701404422,0.760362361,-6.820574009
ABCB8///ASIC3,-0.441910258,0.027695854,-3.863720788,0.000232892,0.000763512,-0.064850126
ABCB9,-0.160093385,0.050103726,-0.809391845,0.420809514,0.50224558,-6.567681925
ABCC1,0.076707598,0.021360751,0.549359375,0.584364944,0.656097428,-6.743743153
ABCC10,0.396789131,0.014199245,2.173882332,0.032818728,0.056685966,-4.596253297
ABCC11,-0.394549212,0.077851792,-3.033750179,0.003301823,0.007657045,-2.54015973
ABCC12,-0.292887979,0.02426191,-3.045272957,0.003191242,0.007433965,-2.508869249
ABCC13,-2.781044557,0.562279356,-9.247120468,4.39E-14,5.16E-12,21.71770575
ABCC2,-0.490958895,0.062779361,-3.922474041,0.00019032,0.000643406,0.126116666
ABCC3,1.388303918,0.282844005,4.260978489,5.76E-05,0.000226415,1.262271223
ABCC4,-2.984302878,0.637909677,-7.530166185,8.56E-11,2.61E-09,14.28997856
ABCC5,-0.112164587,0.021259258,-0.754857618,0.452660724,0.533752929,-6.610115027
ABCC6P1,-0.553106041,0.097786085,-4.327604823,4.52E-05,0.00018385,1.492755426
ABCC8,-0.482855785,0.03517134,-2.914821146,0.004670233,0.010358044,-2.857647359
ABCC9,-2.251889816,0.305032082,-9.107587635,8.11E-14,8.46E-12,21.11432624
ABCD1,0.092972572,-0.015084365,0.697130741,0.48784204,0.567586678,-6.651855169
ABCD2,-0.014259496,0.045872852,-0.146519135,0.883898453,0.909731705,-6.884017465
ABCD3,-0.126813058,0.119814768,-0.67516603,0.501613528,0.580418361,-6.666876626
ABCD4,-0.431455857,0.003396691,-3.51477504,0.000744367,0.002087929,-1.158073054
ABCE1,-0.68347795,-0.012155073,-2.699023781,0.008561205,0.017601641,-3.40759213
ABCF1,1.782865863,-0.278807473,6.338652483,1.49E-08,1.96E-07,9.248166602
ABCF2,-1.711899608,0.358192308,-6.601060152,4.86E-09,7.48E-08,10.341119
ABCF3,-0.141521718,0.040875,-0.86831202,0.387949554,0.469852661,-6.518570393
ABCG1,0.558438169,0.160213665,1.756131873,0.083083102,0.127358554,-5.379040099
ABCG2,0.428936763,0.3403268,1.18010823,0.241627409,0.315538473,-6.202780513
ABCG4,-0.570616356,0.049296739,-3.693373048,0.000414008,0.001253021,-0.607493775
ABCG5,-0.23330322,0.003844395,-1.934978592,0.056703324,0.091159353,-5.062335488
