Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
18S ribosomal RNA,1.157188975,-0.157651912,3.212646505,0.001927908,0.007558227,-2.274481888
28S ribosomal RNA,0.078194424,0.027058462,1.340266302,0.18414065,0.252969978,-6.252108597
A1BG,0.629918544,0.122324386,3.494824114,0.000793919,0.003881422,-1.444999717
A1BG-AS1,0.30348224,0.151787493,1.659923704,0.101039183,0.155939093,-5.783336942
A1CF,0.285701001,0.125447649,2.119040327,0.037344349,0.071087354,-4.94965807
A2M,-0.014831235,-0.020911214,-0.106992492,0.915076074,0.932149328,-7.140191243
A2M-AS1,0.270464577,0.102561656,1.271146089,0.207542591,0.279215591,-6.340985092
A2ML1,0.197309338,0.080568911,1.121820466,0.265460752,0.340892474,-6.517543604
A2MP1,0.754430896,0.225740569,3.151066296,0.002325272,0.008711831,-2.448505755
A4GALT,0.545553667,0.049829552,2.945504397,0.004274236,0.013703819,-3.01043056
A4GNT,0.273381257,0.040484676,2.397733038,0.018944969,0.04204716,-4.356009662
AA06,0.480210465,0.019116458,2.61844617,0.010651341,0.027099091,-3.841418435
AAAS,0.092077851,0.037221197,0.590941144,0.55630834,0.624992548,-6.970538338
AACS,-0.144337573,0.054374367,-0.590529695,0.556582645,0.625205892,-6.970781963
AACSP1,0.388313128,0.110678293,1.708055858,0.091696273,0.144314957,-5.704665485
AADAC,-3.45986606,0.372314385,-9.426880894,1.99E-14,1.83E-12,22.4199197
AADACL2,-4.089478853,0.32689233,-21.64679539,2.75E-34,8.74E-31,67.37112456
AADACP1,0.07530844,0.184589186,0.318558473,0.750932687,0.795162031,-7.094895888
AADAT,0.072157931,0.052962896,0.406068519,0.685830125,0.740660537,-7.063025354
AAED1,-0.035951418,0.076467295,-0.148368338,0.882443938,0.905843154,-7.134872793
AAGAB,0.554852208,0.225149452,2.877287424,0.005200628,0.015839072,-3.190278891
AAK1,0.377565561,0.041928614,1.204134369,0.232263983,0.305881465,-6.422841727
AAMDC,0.126995517,0.035340269,1.307960264,0.19481814,0.264871138,-6.294208289
AAMP,-0.174687472,-0.045770836,-0.783792959,0.435590712,0.51250986,-6.837899925
AANAT,0.060793174,-0.005764191,0.502378754,0.616849594,0.680586635,-7.019095727
AAR2,-0.143896246,-0.09128438,-0.695911938,0.488600718,0.562533222,-6.902899741
AARS,-0.281667629,-0.025541843,-1.211200631,0.229560765,0.302868269,-6.414411018
AARS2,-0.355986548,0.035686759,-1.72475831,0.088624444,0.140435269,-5.676878805
AASDH,-0.973740009,0.140975671,-4.259713628,5.78E-05,0.000509444,1.043183319
AASDHPPT,0.20254722,-0.010866425,1.918272512,0.058821998,0.101443773,-5.336873765
AASS,-0.823916193,0.057292074,-3.607518734,0.000550076,0.002946066,-1.099588877
AATBC,0.871010452,0.220251354,2.515710116,0.0139834,0.033346762,-4.085713811
AATF,-0.659324143,-0.021890928,-2.907828041,0.004765102,0.014826452,-3.110177229
AATK,0.510151555,0.024635323,2.483668231,0.015199957,0.035677431,-4.160217008
ABAT,-1.476465938,0.106029978,-2.844167524,0.005714178,0.016986589,-3.276377207
ABCA1,0.194763197,0.056677451,1.878127993,0.06418859,0.108631733,-5.410120749
ABCA11P,-0.386876426,-0.00511977,-1.847278861,0.068587557,0.114437911,-5.465448191
ABCA12,0.445197369,0.014292413,4.423124911,3.19E-05,0.000316389,1.615026535
ABCA13,-0.299039982,0.150538964,-1.24508482,0.216915253,0.289163948,-6.373325302
ABCA17P,0.246102807,0.128877064,0.781228361,0.437088204,0.514026831,-6.839904502
ABCA2,0.67709362,0.104315361,3.636411923,0.000500128,0.002736948,-1.009779975
ABCA3,-0.470981603,0.037244314,-1.695158907,0.094127456,0.147323347,-5.725949915
