Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
18S ribosomal RNA,-2.137903581,-0.157651912,-4.901711652,5.23E-06,2.06E-05,3.46166411
28S ribosomal RNA,-0.033076295,0.027058462,-0.468201896,0.640976453,0.681979304,-6.913233459
A1BG,-0.380866027,0.122324386,-1.745075239,0.085002395,0.112811557,-5.522653484
A1BG-AS1,-1.305170559,0.151787493,-5.895533411,9.59E-08,6.65E-07,7.345720555
A1CF,-0.974278188,0.125447649,-5.967761115,7.10E-08,5.15E-07,7.639313785
A2M,-0.68857038,-0.020911214,-4.102280227,0.000101534,0.000275717,0.613105261
A2M-AS1,-0.253402467,0.102561656,-0.98355104,0.328448361,0.378060141,-6.540118019
A2ML1,-0.382482604,0.080568911,-1.795925832,0.076469499,0.102560885,-5.435754534
A2MP1,-2.660285712,0.225740569,-9.17629459,5.99E-14,4.02E-12,21.37931307
A4GALT,-1.357582889,0.049829552,-6.053262982,4.97E-08,3.81E-07,7.988498329
A4GNT,-0.414738005,0.040484676,-3.004048335,0.003603483,0.006538706,-2.738453
AA06,-1.031212083,0.019116458,-4.643666412,1.40E-05,4.85E-05,2.510835691
AAAS,-0.294964296,0.037221197,-1.563361784,0.122110503,0.156266845,-5.814238267
AACS,0.416417697,0.054374367,1.406994859,0.16349386,0.203278708,-6.041053259
AACSP1,-0.631021698,0.110678293,-2.292267407,0.024651011,0.036916708,-4.469982441
AADAC,2.794623268,0.372314385,6.288296265,1.84E-08,1.65E-07,8.95687287
AADACL2,4.121657319,0.32689233,18.01766539,3.39E-29,1.26E-25,55.80784134
AADACP1,-0.041863867,0.184589186,-0.14624662,0.884112837,0.901269444,-7.012506298
AADAT,-0.102353809,0.052962896,-0.475685868,0.635658821,0.677333096,-6.909693366
AAED1,1.243280555,0.076467295,4.237359732,6.27E-05,0.000179512,1.073301926
AAGAB,-1.701274631,0.225149452,-7.285868785,2.50E-10,4.51E-09,13.17481921
AAK1,-0.206026438,0.041928614,-0.542633403,0.588965543,0.633711182,-6.875545357
AAMDC,-0.225184179,0.035340269,-1.915336229,0.059201222,0.081496119,-5.222724334
AAMP,0.561610556,-0.045770836,2.081018064,0.040791484,0.058119234,-4.906648924
AANAT,-0.088204275,-0.005764191,-0.601959219,0.548987892,0.596414391,-6.841563096
AAR2,0.880766435,-0.09128438,3.51776295,0.000737203,0.001591043,-1.263228566
AARS,1.462483828,-0.025541843,5.193632479,1.67E-06,7.64E-06,4.568750524
AARS2,0.7096917,0.035686759,2.839653672,0.005787672,0.009994395,-3.172259532
AASDH,1.626938295,0.140975671,5.87772768,1.03E-07,7.08E-07,7.273543547
AASDHPPT,-0.462529122,-0.010866425,-3.617629527,0.000532081,0.001186252,-0.956728854
AASS,0.06047655,0.057292074,0.218682262,0.827482098,0.850288078,-6.999226198
AATBC,-2.025809578,0.220251354,-4.832110316,6.84E-06,2.60E-05,3.202511848
AATF,1.17991061,-0.021890928,4.297539116,5.04E-05,0.000148368,1.281283151
AATK,0.096630298,0.024635323,0.388515792,0.698717571,0.734009512,-6.947462777
ABAT,1.245798581,0.106029978,1.981894642,0.05109673,0.071280083,-5.098585022
ABCA1,-0.591535892,0.056677451,-4.710861995,1.09E-05,3.90E-05,2.755763165
ABCA11P,0.700890143,-0.00511977,2.763828787,0.007159445,0.012107309,-3.365715134
ABCA12,-0.504399213,0.014292413,-4.138586207,8.93E-05,0.000246001,0.73587592
ABCA13,0.410896301,0.150538964,1.412872272,0.161764144,0.201454971,-6.032936481
ABCA17P,0.579036479,0.128877064,1.517988038,0.133154777,0.168979571,-5.882371277
ABCA2,-0.990217679,0.104315361,-4.391936154,3.58E-05,0.000109741,1.611079166
ABCA3,0.252329868,0.037244314,0.750025664,0.455548367,0.505808238,-6.741558378
ABCA4,-0.710258955,0.002588648,-4.67604944,1.24E-05,4.36E-05,2.628630206
ABCA5,2.34336263,0.261307136,7.039638407,7.30E-10,1.10E-08,12.12077127
ABCA6,0.815987472,0.112141863,3.415346538,0.001024033,0.002134819,-1.571127587
ABCA7,-0.773452948,0.135296307,-2.125909368,0.036749321,0.052933601,-4.816976203
ABCA8,0.796176804,0.739625365,0.968762318,0.335728089,0.385640417,-6.554449165
ABCA9,0.840918391,0.261496048,2.46466851,0.015965437,0.024962565,-4.086518566
