Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
18S ribosomal RNA,1.157188975,-0.157651912,3.212646505,0.0019279079999999999,0.007558227,-2.274481888,NA,NA
28S ribosomal RNA,0.078194424,0.027058462000000002,1.340266302,0.18414065,0.252969978,-6.252108597,NA,NA
A1BG,0.629918544,0.122324386,3.4948241139999996,0.0007939189999999999,0.0038814220000000003,-1.444999717,NA,NA
A1BG-AS1,0.30348224,0.151787493,1.659923704,0.101039183,0.155939093,-5.783336942,NA,NA
A1CF,0.285701001,0.125447649,2.119040327,0.037344349,0.071087354,-4.94965807,NA,NA
A2M,-0.014831235,-0.020911213999999997,-0.106992492,0.915076074,0.9321493279999999,-7.140191242999999,Matrisome-associated,ECM Regulators
A2M-AS1,0.270464577,0.102561656,1.2711460890000001,0.20754259100000003,0.27921559100000004,-6.340985092,NA,NA
A2ML1,0.197309338,0.080568911,1.121820466,0.26546075199999997,0.340892474,-6.517543604,Matrisome-associated,ECM Regulators
A2MP1,0.7544308959999999,0.22574056899999997,3.151066296,0.002325272,0.008711831,-2.448505755,NA,NA
A4GALT,0.5455536670000001,0.049829552,2.9455043969999997,0.004274236,0.013703818999999999,-3.01043056,NA,NA
A4GNT,0.273381257,0.040484676000000004,2.397733038,0.018944969,0.04204716,-4.356009662,NA,NA
AA06,0.480210465,0.019116458,2.61844617,0.010651341000000002,0.027099091000000002,-3.841418435,NA,NA
AAAS,0.092077851,0.037221197000000004,0.590941144,0.55630834,0.6249925479999999,-6.970538338,NA,NA
AACS,-0.144337573,0.054374367,-0.590529695,0.556582645,0.625205892,-6.970781962999999,NA,NA
AACSP1,0.38831312799999995,0.11067829300000001,1.708055858,0.09169627300000001,0.144314957,-5.704665485,NA,NA
AADAC,-3.45986606,0.372314385,-9.426880894,1.99e-14,1.83e-12,22.419919699999998,NA,NA
AADACL2,-4.089478853,0.32689233,-21.64679539,2.75e-34,8.74e-31,67.37112456,NA,NA
AADACP1,0.07530844,0.18458918600000002,0.318558473,0.750932687,0.7951620309999999,-7.094895888,NA,NA
AADAT,0.072157931,0.052962895999999995,0.40606851899999996,0.685830125,0.740660537,-7.063025354,NA,NA
AAED1,-0.035951418,0.076467295,-0.14836833800000002,0.882443938,0.905843154,-7.1348727929999995,NA,NA
