Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
18S ribosomal RNA,3.0364337939999997,-0.157651912,14.91943655,2.5699999999999997e-24,1.5500000000000001e-21,44.92681137,NA,NA
28S ribosomal RNA,0.10711034800000001,0.027058462000000002,3.2492018810000003,0.001723085,0.00392101,-2.1881027090000003,NA,NA
A1BG,0.793763078,0.122324386,7.794024653999999,2.68e-11,3.58e-10,15.2844628,NA,NA
A1BG-AS1,0.424788813,0.151787493,4.112045083,9.81e-05,0.00029844400000000003,0.520443884,NA,NA
A1CF,0.130391903,0.125447649,1.7116226940000001,0.09103305199999999,0.13342427699999998,-5.717780792999999,NA,NA
A2M,-0.484344524,-0.020911213999999997,-6.183869867,2.8700000000000002e-08,1.94e-07,8.420213921,Matrisome-associated,ECM Regulators
A2M-AS1,0.747351001,0.102561656,6.216409905,2.5e-08,1.72e-07,8.554889822,NA,NA
A2ML1,-0.241288497,0.080568911,-2.4279642569999997,0.017542734,0.031212836,-4.306484415,Matrisome-associated,ECM Regulators
A2MP1,-0.112243364,0.22574056899999997,-0.8297145370000001,0.40929150700000005,0.48679622200000006,-6.820203646,NA,NA
A4GALT,0.338749571,0.049829552,3.2369120610000004,0.001789553,0.004060207,-2.22334945,NA,NA
A4GNT,0.010395607,0.040484676000000004,0.16136595199999998,0.872232177,0.9013146959999999,-7.1522148560000005,NA,NA
AA06,-0.15576379099999998,0.019116458,-1.503171354,0.136927377,0.190071417,-6.044080096,NA,NA
AAAS,0.14855613199999998,0.037221197000000004,1.687367135,0.09562163800000001,0.139167436,-5.757774421000001,NA,NA
AACS,0.144892457,0.054374367,1.04915117,0.297424096,0.37148338200000003,-6.614998114,NA,NA
AACSP1,0.049389472999999996,0.11067829300000001,0.38448937,0.701686521,0.757012001,-7.090950816,NA,NA
AADAC,-0.585510668,0.372314385,-2.8234070630000003,0.00605945,0.01213255,-3.3483737889999996,NA,NA
AADACL2,0.009391409,0.32689233,0.087980482,0.9301229520000001,0.9472688859999999,-7.161427776,NA,NA
AADACP1,-0.62438207,0.18458918600000002,-4.67440009,1.25e-05,4.6500000000000005e-05,2.501804725,NA,NA
AADAT,-0.421285808,0.052962895999999995,-4.195870057,7.28e-05,0.00022832200000000001,0.806026157,NA,NA
AAED1,0.9107283270000001,0.076467295,6.651873769,3.91e-09,3.23e-08,10.37737979,NA,NA
AAGAB,0.53487191,0.225149452,4.908916788,5.09e-06,2.07e-05,3.369967887,NA,NA
AAK1,0.521957279,0.041928613999999996,2.946100027,0.004266865999999999,0.008878549,-3.027200557,NA,NA
AAMDC,0.10375576,0.035340269,1.891247325,0.062391126,0.095758614,-5.40529082,NA,NA
AAMP,-0.339062276,-0.045770835999999995,-2.692458523,0.008716354,0.016801361,-3.678901906,NA,NA
AANAT,-0.350864124,-0.005764191,-5.131512107,2.13e-06,9.4e-06,4.214080854,NA,NA
AAR2,-0.072420535,-0.09128438,-0.619864128,0.537196125,0.608939198,-6.972317816,NA,NA
AARS,0.327513846,-0.025541842999999998,2.49252066,0.014854686,0.026930406,-4.158358257,NA,NA
AARS2,0.37864253,0.035686759,3.24678853,0.001735952,0.003948268,-2.195032073,NA,NA
AASDH,0.082972755,0.140975671,0.642396035,0.5225438139999999,0.594970593,-6.958069951000001,NA,NA
AASDHPPT,-0.149589047,-0.010866425,-2.5073430780000003,0.014292321,0.026021276,-4.123881857,NA,NA
AASS,0.855595138,0.057292074000000005,6.630157052,4.29e-09,3.52e-08,10.2856776,NA,NA
AATBC,1.266916626,0.22025135399999998,6.476124906,8.29e-09,6.36e-08,9.637573641,NA,NA
