Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
18S ribosomal RNA,1.879244819,-0.157651912,5.2305242739999995,1.44e-06,1.01e-05,4.593094243,NA,NA
28S ribosomal RNA,0.028915924,0.027058462000000002,0.496884669,0.620700671,0.694770784,-7.043921622999999,NA,NA
A1BG,0.16384453400000001,0.122324386,0.911330897,0.36499453,0.45219354700000003,-6.752073154,NA,NA
A1BG-AS1,0.121306573,0.151787493,0.665184903,0.50794021,0.591001121,-6.945873167999999,NA,NA
A1CF,-0.155309098,0.125447649,-1.154855274,0.251757748,0.332401005,-6.502240317999999,NA,NA
A2M,-0.469513289,-0.020911213999999997,-3.3956826189999996,0.001089991,0.0031459509999999997,-1.762874038,Matrisome-associated,ECM Regulators
A2M-AS1,0.47688642299999995,0.102561656,2.24700085,0.027533947000000003,0.051307697,-4.7064720289999995,NA,NA
A2ML1,-0.438597835,0.080568911,-2.500031087,0.014567301000000001,0.029599487999999997,-4.143542357,Matrisome-associated,ECM Regulators
A2MP1,-0.86667426,0.22574056899999997,-3.629085323,0.000512369,0.00162571,-1.052950573,NA,NA
A4GALT,-0.20680409600000002,0.049829552,-1.119398032,0.26648582600000004,0.348738606,-6.542169235,NA,NA
A4GNT,-0.26298565,0.040484676000000004,-2.312423363,0.023455487,0.044746256,-4.565897747,NA,NA
AA06,-0.635974256,0.019116458,-3.47660037,0.0008418960000000001,0.002518887,-1.520609319,NA,NA
AAAS,0.056478281,0.037221197000000004,0.36339063,0.7173191109999999,0.7776906690000001,-7.101612823,NA,NA
AACS,0.28923003,0.054374367,1.186339335,0.239173398,0.318453597,-6.465778591,NA,NA
AACSP1,-0.338923655,0.11067829300000001,-1.4946003630000002,0.139147802,0.201617326,-6.059343022,NA,NA
AADAC,2.874355393,0.372314385,7.851495819,2.0800000000000002e-11,6.24e-10,15.53270086,NA,NA
AADACL2,4.098870261,0.32689233,21.75169092,2e-34,6.36e-31,67.71759079,NA,NA
AADACP1,-0.69969051,0.18458918600000002,-2.9672538160000004,0.0040126,0.009705675,-2.973316243,NA,NA
AADAT,-0.493443739,0.052962895999999995,-2.7839158160000004,0.0067696480000000005,0.015271915,-3.452009556,NA,NA
AAED1,0.946679745,0.076467295,3.9168008839999997,0.00019408099999999997,0.000705492,-0.13282186699999998,NA,NA
AAGAB,-0.019980298,0.225149452,-0.10387501699999999,0.9175413929999999,0.9378421020000001,-7.162624513,NA,NA
AAK1,0.144391718,0.041928613999999996,0.461666188,0.6456357429999999,0.716402269,-7.06087141,NA,NA
AAMDC,-0.023239757000000003,0.035340269,-0.239961158,0.8110045909999999,0.8546586840000001,-7.13907053,NA,NA
AAMP,-0.164374804,-0.045770835999999995,-0.739397625,0.46193689200000004,0.546530014,-6.893718300000001,NA,NA
AANAT,-0.41165729799999995,-0.005764191,-3.410479697,0.001039998,0.0030193090000000004,-1.718883975,NA,NA
AAR2,0.071475711,-0.09128438,0.346550485,0.729884018,0.788245332,-7.1076237429999995,NA,NA
AARS,0.609181474,-0.025541842999999998,2.626207544,0.010431538,0.022160535,-3.8438151460000003,NA,NA
AARS2,0.734629077,0.035686759,3.5683379530000003,0.000625416,0.001938689,-1.2409725390000002,NA,NA
AASDH,1.056712765,0.140975671,4.634443032,1.4499999999999998e-05,7.48e-05,2.353806295,NA,NA
AASDHPPT,-0.352136267,-0.010866425,-3.343474215,0.001285079,0.0036164820000000003,-1.916955746,NA,NA
AASS,1.679511332,0.057292074000000005,7.372447707999999,1.71e-10,4e-09,13.45573357,NA,NA
AATBC,0.395906174,0.22025135399999998,1.146390848,0.25521996,0.33655229600000003,-6.511881537000001,NA,NA
AATF,0.41394033,-0.021890927999999997,1.830251153,0.071122043,0.114688165,-5.517285746000001,NA,NA
AATK,-0.87798893,0.024635322999999997,-4.285353111,5.27e-05,0.000228547,1.1123873579999999,NA,NA
ABAT,1.4691840669999998,0.10602997800000001,2.8373385360000003,0.005825704,0.013406478999999999,-3.315060948,NA,NA
ABCA1,-0.18117989199999998,0.056677451,-1.751586115,0.08386781,0.131742303,-5.653419371,NA,NA
ABCA11P,-0.148376777,-0.00511977,-0.710279586,0.47969853100000004,0.563745217,-6.914830137,NA,NA
ABCA12,-0.43154543799999995,0.014292413,-4.2983952830000005,5.03e-05,0.000219322,1.157729131,NA,NA
ABCA13,0.177891535,0.150538964,0.742554218,0.46003415299999995,0.544817935,-6.891379399,NA,NA
ABCA17P,-0.273316345,0.128877064,-0.869821712,0.387129082,0.47453637,-6.788921268999999,NA,NA
ABCA2,-0.318276624,0.104315361,-1.713690146,0.090650433,0.14083408,-5.717032392999999,NA,NA
ABCA3,0.525591217,0.037244314,1.896521533,0.061680572999999995,0.10174478599999999,-5.398359394,NA,NA
ABCA4,-0.56775334,0.002588648,-4.537579942,2.09e-05,0.000102354,2.003716219,NA,NA
ABCA5,2.825199301,0.261307136,10.30296341,4.3099999999999995e-16,4e-14,26.20347357,NA,NA
ABCA6,0.917476664,0.11214186300000001,4.661745142,1.31e-05,6.840000000000001e-05,2.453230632,NA,NA
ABCA7,-0.054301906,0.135296307,-0.181187458,0.856701418,0.8907337740000001,-7.151528697000001,NA,NA
ABCA8,7.797668849,0.739625365,11.51793756,2.34e-18,3.64e-16,31.36631603,NA,NA
ABCA9,1.489768543,0.261496048,5.300607917,1.09e-06,7.92e-06,4.865061626,NA,NA
ABCB1,1.7245214530000001,0.129393961,7.771470184,2.96e-11,8.54e-10,15.184649800000003,NA,NA
ABCB10,0.548277596,-0.038811381,1.330755815,0.18723705100000002,0.258695176,-6.286471739,NA,NA
