Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
A2M,-0.484344524,-0.020911213999999997,-6.183869867,2.8700000000000002e-08,1.94e-07,8.420213921
A2ML1,-0.241288497,0.080568911,-2.4279642569999997,0.017542734,0.031212836,-4.306484415
ACAN,0.503714209,0.14971453199999998,4.986491502,3.76e-06,1.58e-05,3.6620115330000003
ADAM11,0.542234977,0.24797435199999998,5.712274304,2.05e-07,1.14e-06,6.496461066
ADAM12,2.076744164,0.773886222,6.832675362000001,1.79e-09,1.59e-08,11.14374513
ADAM15,0.23028194600000002,0.051864723,3.016598184,0.003473032,0.0073921690000000005,-2.837751356
ADAM17,0.675062884,-0.011416582,5.545477159,4.05e-07,2.1e-06,5.830160702000001
ADAM19,0.543990439,0.132395296,3.2916944110000004,0.00151068,0.0034815209999999996,-2.065460889
ADAM2,0.13274526,0.063202381,2.5863582380000003,0.011605339,0.021670776,-3.9371887410000004
ADAM20,-0.30893607,-0.038721571,-4.525270374,2.18e-05,7.69e-05,1.9619289219999998
ADAM21,-0.563392227,-0.05355956,-7.509203771,9.390000000000001e-11,1.1e-09,14.04871132
ADAM22,0.34345903200000005,0.150909786,2.344241017,0.021672557999999998,0.037653316,-4.493621179
ADAM23,0.885147632,0.23271489,5.126757145,2.17e-06,9.56e-06,4.195856841
ADAM32,-0.46607815700000005,0.116191776,-5.3395562739999995,9.31e-07,4.46e-06,5.01919341
ADAM33,1.009261039,0.081776447,8.06448299,8.14e-12,1.21e-10,16.46228124
ADAM7,0.203012145,0.066264065,3.604456323,0.000555639,0.001424831,-1.126928834
ADAM8,0.7155515659999999,0.242764471,3.7473465519999998,0.00034558300000000006,0.0009284489999999999,-0.678056549
ADAM9,-0.349842946,0.088309749,-3.6296803810000005,0.000511364,0.001324026,-1.0485780470000001
ADAMTS12,1.6680730519999998,0.538393189,5.206809133999999,1.58e-06,7.21e-06,4.503742187
ADAMTS14,0.55195601,0.156142413,5.5694533139999995,3.6700000000000004e-07,1.92e-06,5.925437399
ADAMTS15,-0.9418180270000001,0.277705403,-3.831287295,0.00026015099999999997,0.000717312,-0.40878139799999996
ADAMTS16,1.1423300859999999,0.37225041200000003,6.258045964,2.1e-08,1.4599999999999998e-07,8.727542043
ADAMTS18,0.630460802,0.299690946,2.764775492,0.007140621999999999,0.014065399,-3.49795131
ADAMTS2,2.054647732,0.542044022,7.24534123,2.98e-10,3.14e-09,12.90973856
ADAMTS3,1.044953249,0.49035806200000004,4.385210166,3.66e-05,0.000122794,1.4640797769999998
ADAMTS5,3.006976653,0.31054402,10.199732699999998,6.75e-16,2.71e-14,25.76003932
ADAMTS6,0.509187069,0.14651615,3.138363543,0.002416233,0.005324784,-2.502300376
ADAMTS7,1.0044232,0.152045941,10.42353482,2.55e-16,1.18e-14,26.72261154
ADAMTS8,0.8421548440000001,0.174364778,4.695460531,1.15e-05,4.3200000000000007e-05,2.578831091
ADAMTS9,1.671060861,0.294872012,5.938945225,8.01e-08,4.89e-07,7.414227542999999
ADAMTSL1,1.562985279,0.5179013029999999,6.610652931000001,4.66e-09,3.79e-08,10.20338538
ADAMTSL2,1.267481296,0.309201923,10.86316843,3.8200000000000003e-17,2.2199999999999998e-15,28.601644800000003
ADAMTSL3,1.272680651,0.434742135,4.678207012,1.23e-05,4.59e-05,2.515714043
AEBP1,4.689421895,-0.19787702399999998,17.78238529,7.64e-29,2.12e-25,55.17775224
AGRN,0.552833996,0.09992647699999999,5.1685464,1.84e-06,8.28e-06,4.356297266
AMBN,-0.639567743,-0.042753828,-6.617012093,4.54e-09,3.7e-08,10.23020908
ANGPT1,1.8308776080000002,0.557163359,7.2664748910000005,2.72e-10,2.8899999999999997e-09,13.00071638
ANGPT2,1.7695525380000001,0.514133616,7.355937331,1.8399999999999998e-10,2.02e-09,13.38633925
ANGPT4,-0.447993959,0.023944471000000002,-4.561981526,1.9e-05,6.8e-05,2.093912556
ANGPTL1,1.577670247,0.42242615899999997,6.6248538660000005,4.39e-09,3.59e-08,10.26329597
ANGPTL2,2.243438035,0.36478499299999995,10.42130317,2.58e-16,1.18e-14,26.71303219
ANGPTL4,0.44792659799999995,0.171996113,3.889699063,0.000213051,0.000599324,-0.21902864100000002
ANXA10,-0.40040210299999995,-0.020831059,-5.763004474,1.66e-07,9.41e-07,6.70067537
