Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
A2M,-0.469513289,-0.020911213999999997,-3.3956826189999996,0.001089991,0.0031459509999999997,-1.762874038
A2ML1,-0.438597835,0.080568911,-2.500031087,0.014567301000000001,0.029599487999999997,-4.143542357
ABI3BP,2.378574097,0.31798204,11.50617044,2.46e-18,3.77e-16,31.31699842
ACAN,-0.41952461799999996,0.14971453199999998,-2.3525647569999997,0.021226442,0.041054292,-4.47791244
ADAM15,-0.311616753,0.051864723,-2.312339653,0.023460343999999998,0.04475168,-4.566079858999999
ADAM17,0.642349183,-0.011416582,2.98909089,0.003764892,0.009189056999999999,-2.914680258
ADAM18,-0.440954615,0.06271436700000001,-3.7917162010000003,0.000297551,0.001015025,-0.538728348
ADAM20,-0.53570786,-0.038721571,-4.445055497,2.94e-05,0.000137469,1.673269525
ADAM21,-0.799523425,-0.05355956,-6.036531707000001,5.33e-08,5.870000000000001e-07,7.811219619
ADAM30,-0.6434575,0.079721402,-4.048296989,0.000122814,0.000472727,0.303244282
ADAM32,-0.72623647,0.116191776,-4.71300312,1.0800000000000002e-05,5.7799999999999995e-05,2.640762056
ADAM33,0.656996247,0.081776447,2.9737822539999996,0.003937007,0.009549066,-2.95582197
ADAM9,1.018282376,0.088309749,5.984622272,6.62e-08,7.040000000000001e-07,7.598608166
ADAMDEC1,-1.192362741,0.303732664,-2.966461644,0.004021863,0.009721508,-2.975436958
ADAMTS17,1.515816319,0.145824603,6.407839436000001,1.1100000000000002e-08,1.51e-07,9.349555787
ADAMTS3,4.270492888,0.49035806200000004,10.15184106,8.310000000000001e-16,7.3e-14,25.55249766
ADAMTS5,1.840510308,0.31054402,3.536472158,0.000693807,0.002127669,-1.33869869
ADAMTS9,1.899458151,0.294872012,3.824018958,0.000266665,0.000922843,-0.43475397299999996
ADAMTSL4,-0.50494666,0.08370770599999999,-3.3779238680000003,0.0011529819999999999,0.003298623,-1.815482951
ADIPOQ,0.967059963,0.20753520600000003,2.313095225,0.023416536,0.044683455999999996,-4.564435904
