,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
0,P31749,AKT1_HUMAN,AKT1 PKB RAC,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily",Cytoplasm Nucleus. Cell membrane,RAC-alpha serine/threonine-protein kinase  (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)
1,P31751,AKT2_HUMAN,AKT2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily",Cytoplasm. Nucleus. Cell membrane; Peripheral membrane protein. Early endosome,RAC-beta serine/threonine-protein kinase  (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)
2,Q9Y243,AKT3_HUMAN,AKT3 PKBG,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily",Nucleus Cytoplasm Membrane Peripheral membrane protein,RAC-gamma serine/threonine-protein kinase  (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)
3,Q5VT25,MRCKA_HUMAN,CDC42BPA KIAA0451,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily","Cytoplasm Cell projection, lamellipodium",Serine/threonine-protein kinase MRCK alpha  (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)
4,Q9Y5S2,MRCKB_HUMAN,CDC42BPB KIAA1124,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily","Cytoplasm Cell membrane Peripheral membrane protein Cytoplasmic side Cell junction Cell projection, lamellipodium",Serine/threonine-protein kinase MRCK beta  (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)
5,Q6DT37,MRCKG_HUMAN,CDC42BPG DMPK2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily",Cytoplasm,Serine/threonine-protein kinase MRCK gamma  (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)
6,O14578,CTRO_HUMAN,CIT CRIK KIAA0949 STK21,"Protein kinase superfamily, AGC Ser/Thr protein kinase family",Cytoplasm,Citron Rho-interacting kinase (CRIK)  (Serine/threonine-protein kinase 21)
7,Q09013,DMPK_HUMAN,DMPK DM1PK MDPK,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily","Endoplasmic reticulum membrane Single-pass type IV membrane protein Cytoplasmic side Nucleus outer membrane Single-pass type IV membrane protein Cytoplasmic side Mitochondrion outer membrane Single-pass type IV membrane protein Sarcoplasmic reticulum membrane Cell membrane Cytoplasm, cytosol",Myotonin-protein kinase (MT-PK)  (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)
8,Q15835,RK_HUMAN,GRK1 RHOK,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",Membrane Lipid-anchor,Rhodopsin kinase (RK)  (G protein-coupled receptor kinase 1)
9,P25098,ARBK1_HUMAN,GRK2 ADRBK1 BARK BARK1,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",Cytoplasm Cell membrane,Beta-adrenergic receptor kinase 1 (Beta-ARK-1)  (G-protein coupled receptor kinase 2)
10,P35626,ARBK2_HUMAN,GRK3 ADRBK2 BARK2,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",Cytoplasm Cell membrane,Beta-adrenergic receptor kinase 2 (Beta-ARK-2)  (G-protein-coupled receptor kinase 3)
11,P32298,GRK4_HUMAN,GRK4 GPRK2L GPRK4,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",Cytoplasm Cell membrane,G protein-coupled receptor kinase 4  (G protein-coupled receptor kinase GRK4) (ITI1)
12,P34947,GRK5_HUMAN,GRK5 GPRK5,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",Cytoplasm Cell membrane,G protein-coupled receptor kinase 5  (G protein-coupled receptor kinase GRK5)
13,P43250,GRK6_HUMAN,GRK6 GPRK6,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",Cytoplasm Cell membrane,G protein-coupled receptor kinase 6  (G protein-coupled receptor kinase GRK6)
14,Q8WTQ7,GRK7_HUMAN,GRK7 GPRK7,"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",Membrane Lipid-anchor,Rhodopsin kinase  (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)
15,O95835,LATS1_HUMAN,LATS1 WARTS,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Serine/threonine-protein kinase LATS1  (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)
16,Q9NRM7,LATS2_HUMAN,LATS2 KPM,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Serine/threonine-protein kinase LATS2  (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase)
17,Q9Y2H9,MAST1_HUMAN,MAST1 KIAA0973 SAST,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cell membrane Peripheral membrane protein Cytoplasmic side Cytoplasm, cytoskeleton",Microtubule-associated serine/threonine-protein kinase 1  (Syntrophin-associated serine/threonine-protein kinase)
18,Q6P0Q8,MAST2_HUMAN,MAST2 KIAA0807 MAST205,"Protein kinase superfamily, AGC Ser/Thr protein kinase family","Cytoplasm, cytoskeleton Cell membrane Peripheral membrane protein Cytoplasmic side",Microtubule-associated serine/threonine-protein kinase 2 
