KinaseID,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_location,Protein_longname,Genome_location 
0,P31749,AKT1_HUMAN,AKT1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  RAC subfamily,Cytoplasm Nucleus. Cell membrane,RAC-alpha serine/threonine-protein kinase  ,14q32.33
1,P31751,AKT2_HUMAN,AKT2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  RAC subfamily,Cytoplasm. Nucleus. Cell membrane; Peripheral membrane protein. Early endosome,RAC-beta serine/threonine-protein kinase  ,19q13.2
2,Q9Y243,AKT3_HUMAN,AKT3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  RAC subfamily,Nucleus Cytoplasm Membrane Peripheral membrane protein,RAC-gamma serine/threonine-protein kinase  ,1q43-q44
3,Q5VT25,MRCKA_HUMAN,CDC42BPA,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Cytoplasm Cell projection  lamellipodium,Serine/threonine-protein kinase MRCK alpha  ,1q42.13
4,Q9Y5S2,MRCKB_HUMAN,CDC42BPB,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Cytoplasm Cell membrane Peripheral membrane protein Cytoplasmic side Cell junction Cell projection  lamellipodium,Serine/threonine-protein kinase MRCK beta  ,14q32.32
5,Q6DT37,MRCKG_HUMAN,CDC42BPG,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Cytoplasm,Serine/threonine-protein kinase MRCK gamma  ,11q13.1
6,O14578,CTRO_HUMAN,CIT,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm,Citron Rho-interacting kinase ,12q24.23
7,Q09013,DMPK_HUMAN,DMPK,Protein kinase superfamily  AGC Ser/Thr protein kinase family  DMPK subfamily,Endoplasmic reticulum membrane Single-pass type IV membrane protein Cytoplasmic side Nucleus outer membrane Single-pass type IV membrane protein Cytoplasmic side Mitochondrion outer membrane Single-pass type IV membrane protein Sarcoplasmic reticulum membrane Cell membrane Cytoplasm  cytosol,Myotonin-protein kinase ,19q13.32
8,Q15835,RK_HUMAN,GRK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Membrane Lipid-anchor,Rhodopsin kinase ,13q34
9,P25098,ARBK1_HUMAN,GRK2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,Beta-adrenergic receptor kinase 1 ,11q13.2
10,P35626,ARBK2_HUMAN,GRK3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,Beta-adrenergic receptor kinase 2 ,22q12.1
11,P32298,GRK4_HUMAN,GRK4,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,G protein-coupled receptor kinase 4  ,4p16.3
12,P34947,GRK5_HUMAN,GRK5,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,G protein-coupled receptor kinase 5  ,10q26.11
13,P43250,GRK6_HUMAN,GRK6,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Cytoplasm Cell membrane,G protein-coupled receptor kinase 6  ,5q35.3
14,Q8WTQ7,GRK7_HUMAN,GRK7,Protein kinase superfamily  AGC Ser/Thr protein kinase family  GPRK subfamily,Membrane Lipid-anchor,Rhodopsin kinase  ,3q23
15,O95835,LATS1_HUMAN,LATS1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Serine/threonine-protein kinase LATS1  ,6q25.1
16,Q9NRM7,LATS2_HUMAN,LATS2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome,Serine/threonine-protein kinase LATS2  ,13q12.11
17,Q9Y2H9,MAST1_HUMAN,MAST1,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein Cytoplasmic side Cytoplasm  cytoskeleton,Microtubule-associated serine/threonine-protein kinase 1  ,19p13.13
18,Q6P0Q8,MAST2_HUMAN,MAST2,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton Cell membrane Peripheral membrane protein Cytoplasmic side,Microtubule-associated serine/threonine-protein kinase 2 ,1p34.1
19,O60307,MAST3_HUMAN,MAST3,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton Cell membrane Peripheral membrane protein Cytoplasmic side,Microtubule-associated serine/threonine-protein kinase 3 ,19p13.11
20,O15021,MAST4_HUMAN,MAST4,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm,Microtubule-associated serine/threonine-protein kinase 4 ,5q12.3
21,Q96GX5,GWL_HUMAN,MASTL,Protein kinase superfamily  AGC Ser/Thr protein kinase family,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Nucleus Cleavage furrow,Serine/threonine-protein kinase greatwall ,10p12.1
22,O15530,PDPK1_HUMAN,PDPK1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PDPK1 subfamily,Cytoplasm  cytoskeleton  microtubule organizing center  centrosome Nucleus Cleavage furrow,3-phosphoinositide-dependent protein kinase 1 ,16p13.3
23,Q6A1A2,PDPK2_HUMAN,PDPK2P,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PDPK1 subfamily,Cytoplasm Membrane Peripheral membrane protein,Putative 3-phosphoinositide-dependent protein kinase 2  
24,Q16512,PKN1_HUMAN,PKN1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Nucleus Endosome Cell membrane Peripheral membrane protein Cleavage furrow Midbody,Serine/threonine-protein kinase N1  ,19p13.12
25,Q16513,PKN2_HUMAN,PKN2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Cytoplasm Nucleus Membrane Cell projection  lamellipodium Cytoplasm  cytoskeleton Cleavage furrow Midbody Cell junction,Serine/threonine-protein kinase N2  ,1p22.2
26,Q6P5Z2,PKN3_HUMAN,PKN3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  PKC subfamily,Nucleus Cytoplasm  perinuclear region,Serine/threonine-protein kinase N3  ,9q34.11
