Kinase_name,Accession,Gene_symbol,Gene_family,Cell_location,Genome_location,Protein_longname
A1ATR_HUMAN,P20848,SERPINA2,Serpin family,Endoplasmic reticulum,14q32.13,Putative alpha-1-antitrypsin-related protein 
AAK1_HUMAN,Q2M2I8,AAK1,Protein kinase superfamily  Ser/Thr protein kinase family,Cell membrane Peripheral membrane protein Membrane  clathrin-coated pit,2p13.3,AP2-associated protein kinase 1  
AAPK1_HUMAN,Q13131,PRKAA1,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus,5p13.1,5'-AMP-activated protein kinase catalytic subunit alpha-1 
AAPK2_HUMAN,P54646,PRKAA2,Protein kinase superfamily  CAMK Ser/Thr protein kinase family  SNF1 subfamily,Cytoplasm Nucleus,1p32.2,5'-AMP-activated protein kinase catalytic subunit alpha-2 
ABL1_HUMAN,P00519,ABL1,Protein kinase superfamily  Tyr protein kinase family  ABL subfamily,Cytoplasm  cytoskeleton. Nucleus. Mitochondrion,9q34.12,Tyrosine-protein kinase ABL1  
ABL2_HUMAN,P42684,ABL2,Protein kinase superfamily  Tyr protein kinase family  ABL subfamily,Cytoplasm  cytoskeleton. Nucleus. Mitochondrion,1q25.2,Tyrosine-protein kinase ABL2  
ACK1_HUMAN,Q07912,TNK2,Protein kinase superfamily  Tyr protein kinase family,Cell membrane. Nucleus. Endosome. Cell junction  adherens junction Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle  clathrin-coated vesicle. Membrane  clathrin-coated pit. Cytoplasm  perinuclear region,3q29,Activated CDC42 kinase 1 
ACV1B_HUMAN,P36896,ACVR1B,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,12q13.13,Activin receptor type-1B  
ACV1C_HUMAN,Q8NER5,ACVR1C,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Membrane Single-pass type I membrane protein,,Activin receptor type-1C  
ACVL1_HUMAN,P37023,ACVRL1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cell membrane Single-pass type I membrane protein,12q13.13,Serine/threonine-protein kinase receptor R3 
ACVR1_HUMAN,Q04771,ACVR1,Protein kinase superfamily  TKL Ser/Thr protein kinase family  TGFB receptor subfamily,Cytoplasm Cell membrane Peripheral membrane protein,2q24.1,Activin receptor type-1  
ADCK1_HUMAN,Q86TW2,ADCK1,Protein kinase superfamily  ADCK protein kinase family,Secreted,14q24.3,Uncharacterized aarF domain-containing protein kinase 1 
ADCK2_HUMAN,Q7Z695,ADCK2,Protein kinase superfamily  ADCK protein kinase family,Membrane Single-pass membrane protein,7q34,Uncharacterized aarF domain-containing protein kinase 2 
ADCK5_HUMAN,Q3MIX3,ADCK5,Protein kinase superfamily  ADCK protein kinase family,Membrane Single-pass membrane protein,8q24.3,Uncharacterized aarF domain-containing protein kinase 5 
AKT1_HUMAN,P31749,AKT1,Protein kinase superfamily  AGC Ser/Thr protein kinase family  RAC subfamily,Cytoplasm Nucleus. Cell membrane,14q32.33,RAC-alpha serine/threonine-protein kinase  
AKT2_HUMAN,P31751,AKT2,Protein kinase superfamily  AGC Ser/Thr protein kinase family  RAC subfamily,Cytoplasm. Nucleus. Cell membrane; Peripheral membrane protein. Early endosome,19q13.2,RAC-beta serine/threonine-protein kinase  
AKT3_HUMAN,Q9Y243,AKT3,Protein kinase superfamily  AGC Ser/Thr protein kinase family  RAC subfamily,Nucleus Cytoplasm Membrane Peripheral membrane protein,1q43-q44,RAC-gamma serine/threonine-protein kinase  
