RN5A_HUMAN,Q05823,2-5A-dependent RNase,1022
CDK7_HUMAN,P50613,39 kDa protein kinase,2447
PDPK2_HUMAN,Q6A1A2,3-phosphoinositide-dependent protein kinase 2 pseudogene,2278
MAPK3_HUMAN,Q16644,3pK,780
ERBB4_HUMAN,Q15303,4ICD,2162
KS6C1_HUMAN,Q96S38,52 kDa ribosomal protein S6 kinase,1925
ILK_HUMAN,Q13418,59 kDa serine/threonine-protein kinase,1572
SMG1_HUMAN,Q96Q15,61E3.4,1877
KS6B1_HUMAN,P23443,70 kDa ribosomal protein S6 kinase 1,842
KS6B2_HUMAN,Q9UBS0,70 kDa ribosomal protein S6 kinase 2,308
ZAP70_HUMAN,P43403,70 kDa zeta-chain associated protein,2984
KS6A1_HUMAN,Q15418,90 kDa ribosomal protein S6 kinase 1,1861
KS6A2_HUMAN,Q15349,90 kDa ribosomal protein S6 kinase 2,442
KS6A3_HUMAN,P51812,90 kDa ribosomal protein S6 kinase 3,2204
KS6A4_HUMAN,O75676,90 kDa ribosomal protein S6 kinase 4,1648
KS6A5_HUMAN,O75582,90 kDa ribosomal protein S6 kinase 5,3226
KS6A6_HUMAN,Q9UK32,90 kDa ribosomal protein S6 kinase 6,106
AAK1_HUMAN,Q2M2I8,AAK1,757
ADCK2_HUMAN,Q7Z695,AARF,2520
COQ8A_HUMAN,Q8NI60,aarF domain-containing protein kinase 3,1734
COQ8B_HUMAN,Q96D53,AarF domain-containing protein kinase 4,221
LMTK1_HUMAN,Q6ZMQ8,AATK,1459
LMTK1_HUMAN,Q6ZMQ8,AATYK,1460
LMTK2_HUMAN,Q8IWU2,AATYK2,1996
ABL1_HUMAN,P00519,Abelson murine leukemia viral oncogene homolog 1,2649
ABL2_HUMAN,P42684,Abelson murine leukemia viral oncogene homolog 2,1911
ABL1_HUMAN,P00519,Abelson tyrosine-protein kinase 1,2650
ABL2_HUMAN,P42684,Abelson tyrosine-protein kinase 2,1912
ABL2_HUMAN,P42684,Abelson-related gene protein,1913
ABL1_HUMAN,P00519,ABL,2647
ABL1_HUMAN,P00519,ABL1,2646
ABL2_HUMAN,P42684,ABL2,1908
ABL2_HUMAN,P42684,ABLL,1909
AAPK1_HUMAN,Q13131,ACACA kinase,508
AAPK2_HUMAN,P54646,ACACA kinase,1285
AAPK1_HUMAN,Q13131,Acetyl-CoA carboxylase kinase,507
AAPK2_HUMAN,P54646,Acetyl-CoA carboxylase kinase,1284
PDK1_HUMAN,Q15118,acetyl-transferring] kinase isozyme 1  mitochondrial,2370
PDK2_HUMAN,Q15119,acetyl-transferring] kinase isozyme 2  mitochondrial,1028
PDK3_HUMAN,Q15120,acetyl-transferring] kinase isozyme 3  mitochondrial,231
PDK4_HUMAN,Q16654,acetyl-transferring] kinase isozyme 4  mitochondrial,2553
ACK1_HUMAN,Q07912,ACK1,2580
ACK1_HUMAN,Q07912,ACK-1,2581
TGFR1_HUMAN,P36897,Activin A receptor type II-like protein kinase of 53kD,1068
ACVR1_HUMAN,Q04771,Activin receptor type I,706
ACV1B_HUMAN,P36896,Activin receptor type IB,2529
ACV1C_HUMAN,Q8NER5,Activin receptor type IC,3176
AVR2A_HUMAN,P27037,Activin receptor type IIA,2773
AVR2B_HUMAN,Q13705,Activin receptor type IIB,2639
ACVL1_HUMAN,P37023,Activin receptor-like kinase 1,1101
ACVR1_HUMAN,Q04771,Activin receptor-like kinase 2,708
BMR1A_HUMAN,P36894,Activin receptor-like kinase 3,1092
ACV1B_HUMAN,P36896,Activin receptor-like kinase 4,2531
TGFR1_HUMAN,P36897,Activin receptor-like kinase 5,1069
ACV1C_HUMAN,Q8NER5,Activin receptor-like kinase 7,3178
ACVR1_HUMAN,Q04771,ACTR-I,707
ACV1B_HUMAN,P36896,ACTR-IB,2530
ACV1C_HUMAN,Q8NER5,ACTR-IC,3177
AVR2A_HUMAN,P27037,ACTRIIA,2775
AVR2A_HUMAN,P27037,ACTR-IIA,2774
AVR2B_HUMAN,Q13705,ACTR-IIB,2640
ACVR1_HUMAN,Q04771,ACVR1,704
ACV1B_HUMAN,P36896,ACVR1B,2526
ACV1C_HUMAN,Q8NER5,ACVR1C,3174
AVR2A_HUMAN,P27037,ACVR2,2772
AVR2A_HUMAN,P27037,ACVR2A,2771
AVR2B_HUMAN,Q13705,ACVR2B,2638
ACVL1_HUMAN,P37023,ACVRL1,1097
ACVL1_HUMAN,P37023,ACVRLK1,1098
ACVR1_HUMAN,Q04771,ACVRLK2,705
BMR1A_HUMAN,P36894,ACVRLK3,1088
ACV1B_HUMAN,P36896,ACVRLK4,2527
AAK1_HUMAN,Q2M2I8,Adaptor-associated kinase 1,759
ADCK1_HUMAN,Q86TW2,ADCK1,596
ADCK2_HUMAN,Q7Z695,ADCK2,2519
COQ8A_HUMAN,Q8NI60,ADCK3,1728
COQ8B_HUMAN,Q96D53,ADCK4,220
ADCK5_HUMAN,Q3MIX3,ADCK5,1142
TNKS1_HUMAN,O95271,ADP-ribosyltransferase diphtheria toxin-like 5,2596
ARBK1_HUMAN,P25098,ADRBK1,745
ARBK2_HUMAN,P35626,ADRBK2,1248
BTK_HUMAN,Q06187,Agammaglobulinemia tyrosine kinase,545
BTK_HUMAN,Q06187,AGMX1,542
AURKC_HUMAN,Q9UQB9,AIE2,1374
AURKA_HUMAN,O14965,AIK,1480
AURKB_HUMAN,Q96GD4,AIK2,922
AURKC_HUMAN,Q9UQB9,AIK3,1375
AURKB_HUMAN,Q96GD4,AIM1,923
AURKB_HUMAN,Q96GD4,AIM-1,931
AURKA_HUMAN,O14965,AIRK1,1481
AURKB_HUMAN,Q96GD4,AIRK2,924
AURKC_HUMAN,Q9UQB9,AIRK3,1376
AKT1_HUMAN,P31749,AKT1,1825
AKT2_HUMAN,P31751,AKT2,939
AKT3_HUMAN,Q9Y243,AKT3,458
ALK_HUMAN,Q9UM73,ALK,193
ACVL1_HUMAN,P37023,ALK1,1099
ACVL1_HUMAN,P37023,ALK-1,1102
ACVR1_HUMAN,Q04771,ALK-2,709
BMR1A_HUMAN,P36894,ALK3,1089
BMR1A_HUMAN,P36894,ALK-3,1093
ACV1B_HUMAN,P36896,ALK4,2528
ACV1B_HUMAN,P36896,ALK-4,2532
TGFR1_HUMAN,P36897,ALK5,1065
TGFR1_HUMAN,P36897,ALK-5,1070
ACV1C_HUMAN,Q8NER5,ALK7,3175
ACV1C_HUMAN,Q8NER5,ALK-7,3179
PGFRA_HUMAN,P16234,Alpha platelet-derived growth factor receptor,1516
PAK1_HUMAN,Q13153,Alpha-PAK,2522
PGFRA_HUMAN,P16234,Alpha-type platelet-derived growth factor receptor,1517
ALPK1_HUMAN,Q96QP1,ALPK1,3083
ALPK2_HUMAN,Q86TB3,ALPK2,136
ALPK3_HUMAN,Q96L96,ALPK3,730
STRAB_HUMAN,Q9C0K7,ALS2CR2,2788
CDK15_HUMAN,Q96Q40,ALS2CR7,3038
